run_id,created_at_utc,task_id,subtask_id,task_dir,tag,orchestrator_variant,success,termination_reason,error_type,judge_accepted,judge_force_accepted,wall_clock_seconds,plan_created,total_delegations,submission_attempts,judge_rejections,blueprint_matched,blueprint_id,blueprint_similarity,agent_curations_run,episode_curation_run,episode_curation_skipped,episode_familiarity,executed_agents,optimal_sequence,capability_boosted_agents,agent_discovery_sources,agent_retrieval_log,total_input_tokens,total_output_tokens,total_tokens,embedding_tokens,cost_llm,cost_embedding,cost_total,cost_by_model,playbook_confirm_votes,playbook_contradict_votes,playbook_bullets_added,playbook_bullets_pruned,playbook_unconfirmed_prunes,playbook_harm_prunes,playbook_consolidation_merges,playbook_evolution,num_internal_tool_calls,tool_call_history
,2026-07-03T06:48:12.958703+00:00,gaia-1-2d83110e,0,tasks/gaia/gaia-1-2d83110e,followup_20260701/gaia_baseline_lower_rich,followup_20260701/gaia_baseline_lower_rich,1,planned,,1,0,3.94,0,0,0,0,0,,0.0,0,0,1,-1.0,[],[],0,"{""translator"": ""embedding"", ""audio_transcriber"": ""embedding"", ""sentiment_analyzer"": ""embedding""}","[{""call"": 1, ""capabilities"": [""word meaning"", ""simple language transformation""], ""unmatched"": [""word meaning""], ""results"": [{""agent"": ""translator"", ""score"": 0.7992, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""simple language transformation""]}, {""agent"": ""audio_transcriber"", ""score"": 0.7685, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""simple language transformation""]}, {""agent"": ""sentiment_analyzer"", ""score"": 0.7623, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""simple language transformation""]}]}]",5068,180,5248,28,0.004665,3e-06,0.004668,"{""gpt-5.4-mini-2026-03-17"": 0.004665}",0,0,0,0,0,0,0,[],2,"[""gather_context"", ""task_complete""]"
,2026-07-03T06:48:19.135067+00:00,gaia-1-3cef3a44,0,tasks/gaia/gaia-1-3cef3a44,followup_20260701/gaia_baseline_lower_rich,followup_20260701/gaia_baseline_lower_rich,0,planned,,1,0,3.42,0,0,0,0,0,,0.0,0,0,1,-1.0,[],[],0,"{""recipe_finder"": ""embedding"", ""meeting_summarizer"": ""embedding"", ""invoice_processor"": ""embedding"", ""file_surfer"": ""embedding""}","[{""call"": 1, ""capabilities"": [""food categorization"", ""botanical classification"", ""list extraction""], ""unmatched"": [""botanical classification""], ""results"": [{""agent"": ""recipe_finder"", ""score"": 0.7723, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""food categorization""]}, {""agent"": ""meeting_summarizer"", ""score"": 0.7531, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""list extraction""]}, {""agent"": ""invoice_processor"", ""score"": 0.7526, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""list extraction""]}, {""agent"": ""file_surfer"", ""score"": 0.7522, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""list extraction""]}]}]",6170,242,6412,33,0.005789,3e-06,0.005792,"{""gpt-5.4-mini-2026-03-17"": 0.005789}",0,0,0,0,0,0,0,[],2,"[""gather_context"", ""task_complete""]"
,2026-07-03T06:48:52.853208+00:00,gaia-1-3f57289b,0,tasks/gaia/gaia-1-3f57289b,followup_20260701/gaia_baseline_lower_rich,followup_20260701/gaia_baseline_lower_rich,0,planned,,1,0,11.78,0,2,0,0,0,,0.0,0,0,1,-1.0,"[""database""]",[],0,"{""database"": ""embedding"", ""weather_service"": ""embedding"", ""fitness_tracker"": ""embedding"", ""chart_builder"": ""embedding""}","[{""call"": 1, ""capabilities"": [""baseball statistics lookup"", ""sports data retrieval""], ""unmatched"": [""baseball statistics lookup""], ""results"": [{""agent"": ""database"", ""score"": 0.7778, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""sports data retrieval""]}, {""agent"": ""weather_service"", ""score"": 0.7705, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""sports data retrieval""]}, {""agent"": ""fitness_tracker"", ""score"": 0.7622, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""sports data retrieval""]}]}, {""call"": 2, ""capabilities"": [""sports statistics database query"", ""baseball player season stats retrieval""], ""unmatched"": [""baseball player season stats retrieval""], ""results"": [{""agent"": ""database"", ""score"": 0.811, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""sports statistics database query""]}, {""agent"": ""chart_builder"", ""score"": 0.7502, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""sports statistics database query""]}]}]",15673,768,16441,59,0.015441,6e-06,0.015447,"{""gpt-5.4-mini-2026-03-17"": 0.015441}",0,0,0,0,0,0,0,[],3,"[""gather_context"", ""gather_context"", ""task_complete""]"
,2026-07-03T06:49:32.080561+00:00,gaia-1-4b6bb5f7,0,tasks/gaia/gaia-1-4b6bb5f7,followup_20260701/gaia_baseline_lower_rich,followup_20260701/gaia_baseline_lower_rich,1,planned,,1,0,36.48,0,2,0,0,0,,0.0,0,0,1,-1.0,"[""file_surfer"", ""web_surfer""]",[],0,"{""sentiment_analyzer"": ""embedding"", ""file_surfer"": ""embedding"", ""translator"": ""embedding"", ""dns_resolver"": ""embedding"", ""spell_checker"": ""embedding"", ""recipe_finder"": ""embedding"", ""web_surfer"": ""embedding"", ""bookmark_manager"": ""embedding"", ""travel_booker"": ""embedding""}","[{""call"": 1, ""capabilities"": [""script lookup"", ""tv episode transcript retrieval"", ""text extraction""], ""unmatched"": [""tv episode transcript retrieval""], ""results"": [{""agent"": ""sentiment_analyzer"", ""score"": 0.8098, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""text extraction""]}, {""agent"": ""file_surfer"", ""score"": 0.8084, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""text extraction""]}, {""agent"": ""translator"", ""score"": 0.7966, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""text extraction""]}, {""agent"": ""dns_resolver"", ""score"": 0.764, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""script lookup""]}, {""agent"": ""spell_checker"", ""score"": 0.7565, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 5, ""matched_capabilities"": [""script lookup""]}, {""agent"": ""recipe_finder"", ""score"": 0.7553, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 6, ""matched_capabilities"": [""script lookup""]}]}, {""call"": 2, ""capabilities"": [""web research"", ""script lookup"", ""text extraction""], ""unmatched"": [], ""results"": [{""agent"": ""web_surfer"", ""score"": 0.8265, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""web research""]}, {""agent"": ""sentiment_analyzer"", ""score"": 0.8098, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""text extraction""]}, {""agent"": ""file_surfer"", ""score"": 0.8084, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""text extraction""]}, {""agent"": ""translator"", ""score"": 0.7966, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""text extraction""]}, {""agent"": ""bookmark_manager"", ""score"": 0.7948, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 5, ""matched_capabilities"": [""web research""]}, {""agent"": ""travel_booker"", ""score"": 0.7901, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 6, ""matched_capabilities"": [""web research""]}, {""agent"": ""dns_resolver"", ""score"": 0.764, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 7, ""matched_capabilities"": [""script lookup""]}, {""agent"": ""spell_checker"", ""score"": 0.7565, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 8, ""matched_capabilities"": [""script lookup""]}, {""agent"": ""recipe_finder"", ""score"": 0.7553, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 9, ""matched_capabilities"": [""script lookup""]}]}]",127633,1394,129027,60,0.102416,6e-06,0.102422,"{""gpt-5.4-mini-2026-03-17"": 0.102416}",0,0,0,0,0,0,0,[],3,"[""gather_context"", ""gather_context"", ""task_complete""]"
,2026-07-03T06:49:36.858754+00:00,gaia-1-4b650a35,0,tasks/gaia/gaia-1-4b650a35,followup_20260701/gaia_baseline_lower_rich,followup_20260701/gaia_baseline_lower_rich,0,error,BadRequestError,-1,0,1.87,-1,0,0,0,-1,,0.0,0,-1,-1,-1.0,[],[],0,{},[],0,0,0,0,0.0,0.0,0.0,{},0,0,0,0,0,0,0,[],0,[]
,2026-07-03T06:49:51.890238+00:00,gaia-1-4fc2f1ae,0,tasks/gaia/gaia-1-4fc2f1ae,followup_20260701/gaia_baseline_lower_rich,followup_20260701/gaia_baseline_lower_rich,1,planned,,1,0,12.11,0,1,0,0,0,,0.0,0,0,1,-1.0,"[""web_surfer""]",[],0,"{""web_surfer"": ""embedding"", ""bookmark_manager"": ""embedding"", ""travel_booker"": ""embedding"", ""contact_manager"": ""embedding"", ""sentiment_analyzer"": ""embedding"", ""weather_service"": ""embedding"", ""invoice_processor"": ""embedding"", ""meeting_summarizer"": ""embedding""}","[{""call"": 1, ""capabilities"": [""web research"", ""Wikipedia article lookup"", ""fact extraction""], ""unmatched"": [], ""results"": [{""agent"": ""web_surfer"", ""score"": 0.8265, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""web research"", ""Wikipedia article lookup""]}, {""agent"": ""bookmark_manager"", ""score"": 0.7948, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""web research""]}, {""agent"": ""travel_booker"", ""score"": 0.7901, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""web research""]}, {""agent"": ""contact_manager"", ""score"": 0.7808, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""Wikipedia article lookup""]}, {""agent"": ""sentiment_analyzer"", ""score"": 0.7781, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 5, ""matched_capabilities"": [""fact extraction""]}, {""agent"": ""weather_service"", ""score"": 0.7757, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 6, ""matched_capabilities"": [""Wikipedia article lookup""]}, {""agent"": ""invoice_processor"", ""score"": 0.77, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 7, ""matched_capabilities"": [""fact extraction""]}, {""agent"": ""meeting_summarizer"", ""score"": 0.7691, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 8, ""matched_capabilities"": [""fact extraction""]}]}]",29280,515,29795,30,0.024432,3e-06,0.024435,"{""gpt-5.4-mini-2026-03-17"": 0.024432}",0,0,0,0,0,0,0,[],2,"[""gather_context"", ""task_complete""]"
,2026-07-03T06:51:30.252159+00:00,gaia-1-5d0080cb,0,tasks/gaia/gaia-1-5d0080cb,followup_20260701/gaia_baseline_lower_rich,followup_20260701/gaia_baseline_lower_rich,1,planned,,1,0,34.73,0,2,0,0,0,,0.0,0,0,1,-1.0,"[""web_surfer""]",[],0,"{""web_surfer"": ""embedding"", ""bookmark_manager"": ""embedding"", ""data_anonymizer"": ""embedding"", ""travel_booker"": ""embedding"", ""database"": ""embedding"", ""meeting_summarizer"": ""embedding""}","[{""call"": 1, ""capabilities"": [""web research"", ""document retrieval"", ""data extraction""], ""unmatched"": [], ""results"": [{""agent"": ""web_surfer"", ""score"": 0.8265, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""web research"", ""document retrieval""]}, {""agent"": ""bookmark_manager"", ""score"": 0.8063, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""web research"", ""document retrieval""]}, {""agent"": ""data_anonymizer"", ""score"": 0.7944, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""data extraction""]}, {""agent"": ""travel_booker"", ""score"": 0.7901, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""web research""]}, {""agent"": ""database"", ""score"": 0.789, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 5, ""matched_capabilities"": [""document retrieval"", ""data extraction""]}, {""agent"": ""meeting_summarizer"", ""score"": 0.7874, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 6, ""matched_capabilities"": [""data extraction""]}]}]",39312,1438,40750,39,0.036386,4e-06,0.03639,"{""gpt-5.4-mini-2026-03-17"": 0.036386}",0,0,0,0,0,0,0,[],2,"[""gather_context"", ""task_complete""]"
,2026-07-03T06:52:23.666697+00:00,gaia-1-7bd855d8,0,tasks/gaia/gaia-1-7bd855d8,followup_20260701/gaia_baseline_lower_rich,followup_20260701/gaia_baseline_lower_rich,1,planned,,1,0,38.2,0,2,0,0,0,,0.0,0,0,1,-1.0,"[""file_surfer"", ""code_exec""]",[],0,"{""file_surfer"": ""embedding"", ""data_anonymizer"": ""embedding"", ""chart_builder"": ""embedding"", ""database"": ""embedding"", ""code_exec"": ""embedding""}","[{""call"": 1, ""capabilities"": [""spreadsheet data extraction"", ""tabular calculation""], ""unmatched"": [], ""results"": [{""agent"": ""file_surfer"", ""score"": 0.7808, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""spreadsheet data extraction""]}, {""agent"": ""data_anonymizer"", ""score"": 0.7786, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""spreadsheet data extraction""]}, {""agent"": ""chart_builder"", ""score"": 0.7737, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""tabular calculation""]}, {""agent"": ""database"", ""score"": 0.7698, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""spreadsheet data extraction""]}, {""agent"": ""code_exec"", ""score"": 0.754, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 5, ""matched_capabilities"": [""tabular calculation""]}]}]",32410,1825,34235,34,0.033067,3e-06,0.03307,"{""gpt-5.4-mini-2026-03-17"": 0.033067}",0,0,0,0,0,0,0,[],2,"[""gather_context"", ""task_complete""]"
,2026-07-03T06:52:37.870690+00:00,gaia-1-7d4a7d1d,0,tasks/gaia/gaia-1-7d4a7d1d,followup_20260701/gaia_baseline_lower_rich,followup_20260701/gaia_baseline_lower_rich,1,planned,,1,0,11.4,0,1,0,0,0,,0.0,0,0,1,-1.0,"[""web_surfer""]",[],0,"{""web_surfer"": ""embedding"", ""bookmark_manager"": ""embedding"", ""data_anonymizer"": ""embedding"", ""travel_booker"": ""embedding"", ""database"": ""embedding"", ""meeting_summarizer"": ""embedding""}","[{""call"": 1, ""capabilities"": [""web research"", ""data extraction""], ""unmatched"": [], ""results"": [{""agent"": ""web_surfer"", ""score"": 0.8265, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""web research""]}, {""agent"": ""bookmark_manager"", ""score"": 0.7948, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""web research""]}, {""agent"": ""data_anonymizer"", ""score"": 0.7944, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""data extraction""]}, {""agent"": ""travel_booker"", ""score"": 0.7901, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""web research""]}, {""agent"": ""database"", ""score"": 0.789, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 5, ""matched_capabilities"": [""data extraction""]}, {""agent"": ""meeting_summarizer"", ""score"": 0.7874, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 6, ""matched_capabilities"": [""data extraction""]}]}]",15419,553,15972,41,0.014219,4e-06,0.014223,"{""gpt-5.4-mini-2026-03-17"": 0.014219}",0,0,0,0,0,0,0,[],2,"[""gather_context"", ""task_complete""]"
,2026-07-03T06:53:15.130308+00:00,gaia-1-11af4e1a,0,tasks/gaia/gaia-1-11af4e1a,followup_20260701/gaia_baseline_lower_rich,followup_20260701/gaia_baseline_lower_rich,0,planned,,1,0,3.53,0,0,0,0,0,,0.0,0,0,1,-1.0,[],[],0,{},"[{""call"": 1, ""capabilities"": [""model architecture facts"", ""transformer encoder layer counts""], ""unmatched"": [""model architecture facts"", ""transformer encoder layer counts""], ""results"": []}]",4781,205,4986,37,0.00457,4e-06,0.004574,"{""gpt-5.4-mini-2026-03-17"": 0.00457}",0,0,0,0,0,0,0,[],1,"[""task_complete""]"
