"run_id","created_at_utc","task_id","subtask_id","task_dir","tag","orchestrator_variant","success","termination_reason","error_type","judge_accepted","judge_force_accepted","wall_clock_seconds","plan_created","total_delegations","submission_attempts","judge_rejections","blueprint_matched","blueprint_id","blueprint_similarity","agent_curations_run","episode_curation_run","episode_curation_skipped","episode_familiarity","executed_agents","optimal_sequence","capability_boosted_agents","agent_discovery_sources","agent_retrieval_log","total_input_tokens","total_output_tokens","total_tokens","embedding_tokens","cost_llm","cost_embedding","cost_total","cost_by_model","playbook_confirm_votes","playbook_contradict_votes","playbook_bullets_added","playbook_bullets_pruned","playbook_unconfirmed_prunes","playbook_harm_prunes","playbook_consolidation_merges","playbook_evolution","num_internal_tool_calls","tool_call_history"
"","2026-07-13T12:13:35.044644+00:00","1-1","0","tasks/officebench/1-1","dynamic_pool_old_pool_20260713-officebench_test_memory_old_pool_fold_1","dynamic_pool_old_pool_20260713/officebench_test_memory_old_pool_fold_1","1","planned","","1","0","19.56","1","2","1","0","1","c968b9bb-2154-4863-b5a5-325b75c19c60","0.7869906894559093","0","1","0","0.0","[""calendar""]","[""calendar""]","4","{""calendar"": ""embedding+capability"", ""social_media_poster"": ""embedding+capability"", ""task_scheduler"": ""embedding+capability"", ""shell"": ""capability"", ""email"": ""capability"", ""time_tracker"": ""embedding+capability"", ""excel"": ""blueprint"", ""pdf"": ""blueprint""}","[{""call"": 1, ""capabilities"": [""calendar management"", ""scheduling"", ""date/time handling""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.865, ""source"": ""embedding+capability"", ""capability_score"": 0.8455, ""rank"": 1, ""matched_capabilities"": [""calendar management"", ""scheduling"", ""date/time handling""]}, {""agent"": ""social_media_poster"", ""score"": 0.8403, ""source"": ""embedding+capability"", ""capability_score"": 0.8403, ""rank"": 2, ""matched_capabilities"": [""scheduling""]}, {""agent"": ""task_scheduler"", ""score"": 0.8397, ""source"": ""embedding+capability"", ""capability_score"": 0.8198, ""rank"": 3, ""matched_capabilities"": [""scheduling""]}, {""agent"": ""shell"", ""score"": 0.8368, ""source"": ""capability"", ""capability_score"": 0.8368, ""rank"": 4, ""matched_capabilities"": [""calendar management"", ""date/time handling""]}, {""agent"": ""email"", ""score"": 0.8177, ""source"": ""capability"", ""capability_score"": 0.8177, ""rank"": 5, ""matched_capabilities"": [""calendar management""]}, {""agent"": ""time_tracker"", ""score"": 0.7891, ""source"": ""embedding+capability"", ""capability_score"": 0.7891, ""rank"": 6, ""matched_capabilities"": [""date/time handling""]}, {""agent"": ""excel"", ""score"": 0.75, ""source"": ""blueprint"", ""capability_score"": 0.0, ""rank"": 7, ""matched_capabilities"": []}, {""agent"": ""pdf"", ""score"": 0.75, ""source"": ""blueprint"", ""capability_score"": 0.0, ""rank"": 8, ""matched_capabilities"": []}]}]","30542","1357","31899","352","0.032069","3.5e-05","0.032104","{""gpt-5.4-mini-2026-03-17"": 0.026664, ""gpt-5.1-2025-11-13"": 0.005405}","0","0","0","0","0","0","0","[]","5","[""gather_context"", ""create_plan"", ""update_step"", ""task_complete"", ""judge_review""]"
"","2026-07-13T12:14:06.954609+00:00","1-1","1","tasks/officebench/1-1","dynamic_pool_old_pool_20260713-officebench_test_memory_old_pool_fold_1","dynamic_pool_old_pool_20260713/officebench_test_memory_old_pool_fold_1","1","planned","","1","0","16.89","0","2","1","0","1","c968b9bb-2154-4863-b5a5-325b75c19c60","0.7660776376724243","0","1","0","1.0","[""calendar""]","[""calendar""]","4","{""calendar"": ""embedding+capability"", ""shell"": ""capability"", ""social_media_poster"": ""embedding+capability"", ""task_scheduler"": ""embedding+capability"", ""email"": ""capability"", ""excel"": ""blueprint"", ""pdf"": ""blueprint""}","[{""call"": 1, ""capabilities"": [""reminder scheduling"", ""calendar/event handling""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.8462, ""source"": ""embedding+capability"", ""capability_score"": 0.8422, ""rank"": 1, ""matched_capabilities"": [""reminder scheduling"", ""calendar/event handling""]}, {""agent"": ""shell"", ""score"": 0.8354, ""source"": ""capability"", ""capability_score"": 0.8354, ""rank"": 2, ""matched_capabilities"": [""calendar/event handling""]}, {""agent"": ""social_media_poster"", ""score"": 0.8149, ""source"": ""embedding+capability"", ""capability_score"": 0.8149, ""rank"": 3, ""matched_capabilities"": [""reminder scheduling""]}, {""agent"": ""task_scheduler"", ""score"": 0.8039, ""source"": ""embedding+capability"", ""capability_score"": 0.8039, ""rank"": 4, ""matched_capabilities"": [""reminder scheduling""]}, {""agent"": ""email"", ""score"": 0.8016, ""source"": ""capability"", ""capability_score"": 0.8016, ""rank"": 5, ""matched_capabilities"": [""calendar/event handling""]}, {""agent"": ""excel"", ""score"": 0.75, ""source"": ""blueprint"", ""capability_score"": 0.0, ""rank"": 6, ""matched_capabilities"": []}, {""agent"": ""pdf"", ""score"": 0.75, ""source"": ""blueprint"", ""capability_score"": 0.0, ""rank"": 7, ""matched_capabilities"": []}]}]","18013","1149","19162","353","0.022281","3.5e-05","0.022316","{""gpt-5.4-mini-2026-03-17"": 0.015761, ""gpt-5.1-2025-11-13"": 0.00652}","0","0","0","0","0","0","0","[]","3","[""gather_context"", ""task_complete"", ""judge_review""]"
"","2026-07-13T12:14:41.317498+00:00","1-1","2","tasks/officebench/1-1","dynamic_pool_old_pool_20260713-officebench_test_memory_old_pool_fold_1","dynamic_pool_old_pool_20260713/officebench_test_memory_old_pool_fold_1","1","planned","","1","0","20.55","1","2","1","0","1","c968b9bb-2154-4863-b5a5-325b75c19c60","0.7940410848880475","0","1","0","2.0","[""calendar""]","[""calendar""]","3","{""calendar"": ""embedding+capability"", ""shell"": ""capability"", ""task_scheduler"": ""embedding+capability"", ""email"": ""capability"", ""notification_sender"": ""embedding+capability"", ""excel"": ""blueprint"", ""pdf"": ""blueprint""}","[{""call"": 1, ""capabilities"": [""calendar scheduling"", ""reminder creation""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.8566, ""source"": ""embedding+capability"", ""capability_score"": 0.8566, ""rank"": 1, ""matched_capabilities"": [""calendar scheduling"", ""reminder creation""]}, {""agent"": ""shell"", ""score"": 0.8247, ""source"": ""capability"", ""capability_score"": 0.8247, ""rank"": 2, ""matched_capabilities"": [""calendar scheduling""]}, {""agent"": ""task_scheduler"", ""score"": 0.8183, ""source"": ""embedding+capability"", ""capability_score"": 0.8119, ""rank"": 3, ""matched_capabilities"": [""calendar scheduling""]}, {""agent"": ""email"", ""score"": 0.7954, ""source"": ""capability"", ""capability_score"": 0.7954, ""rank"": 4, ""matched_capabilities"": [""reminder creation""]}, {""agent"": ""notification_sender"", ""score"": 0.7726, ""source"": ""embedding+capability"", ""capability_score"": 0.7699, ""rank"": 5, ""matched_capabilities"": [""reminder creation""]}, {""agent"": ""excel"", ""score"": 0.75, ""source"": ""blueprint"", ""capability_score"": 0.0, ""rank"": 6, ""matched_capabilities"": []}, {""agent"": ""pdf"", ""score"": 0.75, ""source"": ""blueprint"", ""capability_score"": 0.0, ""rank"": 7, ""matched_capabilities"": []}]}]","29498","1291","30789","329","0.031334","3.3e-05","0.031367","{""gpt-5.4-mini-2026-03-17"": 0.02526, ""gpt-5.1-2025-11-13"": 0.006074}","0","0","0","0","0","0","0","[]","5","[""gather_context"", ""create_plan"", ""update_step"", ""task_complete"", ""judge_review""]"
"","2026-07-13T12:15:12.182845+00:00","1-1","3","tasks/officebench/1-1","dynamic_pool_old_pool_20260713-officebench_test_memory_old_pool_fold_1","dynamic_pool_old_pool_20260713/officebench_test_memory_old_pool_fold_1","0","planned","","1","0","16.59","0","2","1","0","1","c968b9bb-2154-4863-b5a5-325b75c19c60","0.752824850632985","0","0","1","3.0","[""calendar""]","[]","4","{""llm"": ""embedding+capability"", ""pdf"": ""embedding+capability"", ""ocr"": ""embedding+capability"", ""shell"": ""capability+blueprint"", ""calendar"": ""embedding+capability"", ""contact_manager"": ""capability"", ""social_media_poster"": ""embedding+capability"", ""task_scheduler"": ""embedding+capability"", ""excel"": ""blueprint""}","[{""call"": 1, ""capabilities"": [""schedule/calendar lookup"", ""information extraction""], ""unmatched"": [], ""results"": [{""agent"": ""llm"", ""score"": 0.8466, ""source"": ""embedding+capability"", ""capability_score"": 0.8466, ""rank"": 1, ""matched_capabilities"": [""information extraction""]}, {""agent"": ""pdf"", ""score"": 0.8448, ""source"": ""embedding+capability"", ""capability_score"": 0.8448, ""rank"": 2, ""matched_capabilities"": [""information extraction""]}, {""agent"": ""ocr"", ""score"": 0.8379, ""source"": ""embedding+capability"", ""capability_score"": 0.8379, ""rank"": 3, ""matched_capabilities"": [""information extraction""]}, {""agent"": ""shell"", ""score"": 0.824, ""source"": ""capability+blueprint"", ""capability_score"": 0.8081, ""rank"": 4, ""matched_capabilities"": [""schedule/calendar lookup""]}, {""agent"": ""calendar"", ""score"": 0.808, ""source"": ""embedding+capability"", ""capability_score"": 0.808, ""rank"": 5, ""matched_capabilities"": [""schedule/calendar lookup""]}, {""agent"": ""contact_manager"", ""score"": 0.7678, ""source"": ""capability"", ""capability_score"": 0.7678, ""rank"": 6, ""matched_capabilities"": [""schedule/calendar lookup""]}]}, {""call"": 2, ""capabilities"": [""calendar lookup"", ""schedule extraction""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.8043, ""source"": ""embedding+capability"", ""capability_score"": 0.8043, ""rank"": 1, ""matched_capabilities"": [""calendar lookup"", ""schedule extraction""]}, {""agent"": ""shell"", ""score"": 0.8011, ""source"": ""capability"", ""capability_score"": 0.8011, ""rank"": 2, ""matched_capabilities"": [""calendar lookup""]}, {""agent"": ""social_media_poster"", ""score"": 0.7966, ""source"": ""embedding+capability"", ""capability_score"": 0.7966, ""rank"": 3, ""matched_capabilities"": [""schedule extraction""]}, {""agent"": ""task_scheduler"", ""score"": 0.7955, ""source"": ""embedding+capability"", ""capability_score"": 0.7912, ""rank"": 4, ""matched_capabilities"": [""schedule extraction""]}, {""agent"": ""contact_manager"", ""score"": 0.7823, ""source"": ""capability"", ""capability_score"": 0.7823, ""rank"": 5, ""matched_capabilities"": [""calendar lookup""]}, {""agent"": ""excel"", ""score"": 0.75, ""source"": ""blueprint"", ""capability_score"": 0.0, ""rank"": 6, ""matched_capabilities"": []}, {""agent"": ""pdf"", ""score"": 0.75, ""source"": ""blueprint"", ""capability_score"": 0.0, ""rank"": 7, ""matched_capabilities"": []}]}]","23450","1055","24505","394","0.025669","3.9e-05","0.025708","{""gpt-5.4-mini-2026-03-17"": 0.019586, ""gpt-5.1-2025-11-13"": 0.006083}","0","0","0","0","0","0","0","[]","4","[""gather_context"", ""gather_context"", ""task_complete"", ""judge_review""]"
"","2026-07-13T12:15:44.348846+00:00","1-1","4","tasks/officebench/1-1","dynamic_pool_old_pool_20260713-officebench_test_memory_old_pool_fold_1","dynamic_pool_old_pool_20260713/officebench_test_memory_old_pool_fold_1","1","planned","","1","0","18.04","0","2","1","0","1","c968b9bb-2154-4863-b5a5-325b75c19c60","0.7788207662808452","0","1","0","2.0","[""calendar""]","[""calendar""]","5","{""calendar"": ""embedding+capability"", ""shell"": ""capability"", ""social_media_poster"": ""embedding+capability"", ""task_scheduler"": ""embedding+capability"", ""time_tracker"": ""embedding+capability"", ""email"": ""capability"", ""excel"": ""blueprint"", ""pdf"": ""blueprint""}","[{""call"": 1, ""capabilities"": [""calendar event creation"", ""date/time handling"", ""event scheduling""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.8741, ""source"": ""embedding+capability"", ""capability_score"": 0.8741, ""rank"": 1, ""matched_capabilities"": [""calendar event creation"", ""date/time handling"", ""event scheduling""]}, {""agent"": ""shell"", ""score"": 0.865, ""source"": ""capability"", ""capability_score"": 0.865, ""rank"": 2, ""matched_capabilities"": [""calendar event creation"", ""date/time handling""]}, {""agent"": ""social_media_poster"", ""score"": 0.8272, ""source"": ""embedding+capability"", ""capability_score"": 0.8272, ""rank"": 3, ""matched_capabilities"": [""event scheduling""]}, {""agent"": ""task_scheduler"", ""score"": 0.821, ""source"": ""embedding+capability"", ""capability_score"": 0.8149, ""rank"": 4, ""matched_capabilities"": [""event scheduling""]}, {""agent"": ""time_tracker"", ""score"": 0.7891, ""source"": ""embedding+capability"", ""capability_score"": 0.7891, ""rank"": 5, ""matched_capabilities"": [""date/time handling""]}, {""agent"": ""email"", ""score"": 0.789, ""source"": ""capability"", ""capability_score"": 0.789, ""rank"": 6, ""matched_capabilities"": [""calendar event creation""]}, {""agent"": ""excel"", ""score"": 0.75, ""source"": ""blueprint"", ""capability_score"": 0.0, ""rank"": 7, ""matched_capabilities"": []}, {""agent"": ""pdf"", ""score"": 0.75, ""source"": ""blueprint"", ""capability_score"": 0.0, ""rank"": 8, ""matched_capabilities"": []}]}]","18310","1166","19476","414","0.022572","4.1e-05","0.022613","{""gpt-5.4-mini-2026-03-17"": 0.016086, ""gpt-5.1-2025-11-13"": 0.006486}","0","0","0","0","0","0","0","[]","3","[""gather_context"", ""task_complete"", ""judge_review""]"
"","2026-07-13T12:16:50.299657+00:00","1-2","0","tasks/officebench/1-2","dynamic_pool_old_pool_20260713-officebench_test_memory_old_pool_fold_1","dynamic_pool_old_pool_20260713/officebench_test_memory_old_pool_fold_1","0","planned","","0","1","51.87","1","6","2","2","1","ec7e189d-5d89-475e-adb4-9fdd8b4fd9b0","0.8301297516017412","1","0","0","5.0","[""calendar""]","[]","5","{""calendar"": ""embedding+capability"", ""email"": ""capability+blueprint"", ""shell"": ""capability"", ""task_scheduler"": ""embedding+capability"", ""time_tracker"": ""embedding+capability"", ""travel_booker"": ""embedding+capability"", ""ticket_manager"": ""embedding+capability""}","[{""call"": 1, ""capabilities"": [""calendar scheduling"", ""availability matching"", ""time conflict resolution""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.8566, ""source"": ""embedding+capability"", ""capability_score"": 0.8566, ""rank"": 1, ""matched_capabilities"": [""calendar scheduling"", ""time conflict resolution""]}, {""agent"": ""email"", ""score"": 0.8301, ""source"": ""capability+blueprint"", ""capability_score"": 0.7768, ""rank"": 2, ""matched_capabilities"": [""availability matching""]}, {""agent"": ""shell"", ""score"": 0.8247, ""source"": ""capability"", ""capability_score"": 0.8247, ""rank"": 3, ""matched_capabilities"": [""calendar scheduling"", ""time conflict resolution""]}, {""agent"": ""task_scheduler"", ""score"": 0.8183, ""source"": ""embedding+capability"", ""capability_score"": 0.8119, ""rank"": 4, ""matched_capabilities"": [""calendar scheduling""]}, {""agent"": ""time_tracker"", ""score"": 0.7784, ""source"": ""embedding+capability"", ""capability_score"": 0.7784, ""rank"": 5, ""matched_capabilities"": [""time conflict resolution""]}, {""agent"": ""travel_booker"", ""score"": 0.7688, ""source"": ""embedding+capability"", ""capability_score"": 0.7688, ""rank"": 6, ""matched_capabilities"": [""availability matching""]}, {""agent"": ""ticket_manager"", ""score"": 0.7579, ""source"": ""embedding+capability"", ""capability_score"": 0.7579, ""rank"": 7, ""matched_capabilities"": [""availability matching""]}]}]","76900","4323","81223","601","0.088867","6e-05","0.088927","{""gpt-5.4-mini-2026-03-17"": 0.067653, ""gpt-5.1-2025-11-13"": 0.021214}","4","0","2","0","0","0","0","[{""kind"": ""playbook_delta"", ""agent"": ""calendar"", ""before_count"": 11, ""after_count"": 13, ""confirm_vote_count"": 4, ""contradict_vote_count"": 0, ""confirmed_ids"": [""calendar-2"", ""calendar-3"", ""calendar-9"", ""calendar-11""], ""contradicted_ids"": [], ""ignored_confirmed_ids"": [], ""ignored_contradicted_ids"": [], ""new_bullet_candidates"": [{""section"": ""limitation"", ""rule"": ""Cannot compute overlaps from truncated event lists.""}, {""section"": ""strategy"", ""rule"": ""When comparing availability, restate every busy interval explicitly; the agent may refuse if any event end time is missing or cut off.""}], ""added_count"": 2, ""added_bullets"": [{""bullet_id"": ""calendar-11"", ""section"": ""strategy"", ""rule"": ""When comparing availability, restate every busy interval explicitly; the agent may refuse if any event end time is missing or cut off.""}, {""bullet_id"": ""calendar-13"", ""section"": ""limitation"", ""rule"": ""Cannot compute overlaps from truncated event lists.""}], ""pruned_count"": 0, ""pruned_bullets"": []}]","8","[""gather_context"", ""create_plan"", ""update_step"", ""update_step"", ""task_complete"", ""judge_review"", ""task_complete"", ""judge_review""]"
"","2026-07-13T12:17:32.788312+00:00","1-2","1","tasks/officebench/1-2","dynamic_pool_old_pool_20260713-officebench_test_memory_old_pool_fold_1","dynamic_pool_old_pool_20260713/officebench_test_memory_old_pool_fold_1","1","planned","","1","0","27.27","1","3","1","0","1","c968b9bb-2154-4863-b5a5-325b75c19c60","0.7641972705537513","0","0","1","3.0","[""calendar""]","[]","5","{""calendar"": ""embedding+capability"", ""shell"": ""capability"", ""task_scheduler"": ""embedding+capability"", ""email"": ""capability"", ""inventory_tracker"": ""embedding+capability"", ""time_tracker"": ""embedding+capability"", ""social_media_poster"": ""capability"", ""excel"": ""blueprint"", ""pdf"": ""blueprint""}","[{""call"": 1, ""capabilities"": [""calendar scheduling"", ""availability coordination"", ""date/time reasoning""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.8566, ""source"": ""embedding+capability"", ""capability_score"": 0.8566, ""rank"": 1, ""matched_capabilities"": [""calendar scheduling"", ""availability coordination"", ""date/time reasoning""]}, {""agent"": ""shell"", ""score"": 0.8247, ""source"": ""capability"", ""capability_score"": 0.8247, ""rank"": 2, ""matched_capabilities"": [""calendar scheduling""]}, {""agent"": ""task_scheduler"", ""score"": 0.8183, ""source"": ""embedding+capability"", ""capability_score"": 0.8119, ""rank"": 3, ""matched_capabilities"": [""calendar scheduling""]}, {""agent"": ""email"", ""score"": 0.7836, ""source"": ""capability"", ""capability_score"": 0.7836, ""rank"": 4, ""matched_capabilities"": [""availability coordination""]}, {""agent"": ""inventory_tracker"", ""score"": 0.7806, ""source"": ""embedding+capability"", ""capability_score"": 0.7806, ""rank"": 5, ""matched_capabilities"": [""availability coordination""]}, {""agent"": ""time_tracker"", ""score"": 0.7791, ""source"": ""embedding+capability"", ""capability_score"": 0.7759, ""rank"": 6, ""matched_capabilities"": [""date/time reasoning""]}, {""agent"": ""social_media_poster"", ""score"": 0.7614, ""source"": ""capability"", ""capability_score"": 0.7614, ""rank"": 7, ""matched_capabilities"": [""date/time reasoning""]}, {""agent"": ""excel"", ""score"": 0.75, ""source"": ""blueprint"", ""capability_score"": 0.0, ""rank"": 8, ""matched_capabilities"": []}, {""agent"": ""pdf"", ""score"": 0.75, ""source"": ""blueprint"", ""capability_score"": 0.0, ""rank"": 9, ""matched_capabilities"": []}]}]","40165","2755","42920","442","0.047358","4.4e-05","0.047402","{""gpt-5.4-mini-2026-03-17"": 0.039018, ""gpt-5.1-2025-11-13"": 0.00834}","0","0","0","0","0","0","0","[]","4","[""gather_context"", ""create_plan"", ""task_complete"", ""judge_review""]"
"","2026-07-13T12:18:33.326036+00:00","1-2","2","tasks/officebench/1-2","dynamic_pool_old_pool_20260713-officebench_test_memory_old_pool_fold_1","dynamic_pool_old_pool_20260713/officebench_test_memory_old_pool_fold_1","0","planned","","1","0","46.35","1","4","2","1","1","ec7e189d-5d89-475e-adb4-9fdd8b4fd9b0","0.7933401805180799","0","0","1","4.0","[""calendar""]","[]","5","{""calendar"": ""embedding+capability"", ""shell"": ""capability"", ""task_scheduler"": ""embedding+capability"", ""email"": ""capability+blueprint"", ""inventory_tracker"": ""embedding+capability"", ""travel_booker"": ""capability"", ""time_tracker"": ""embedding+capability""}","[{""call"": 1, ""capabilities"": [""calendar scheduling"", ""availability coordination"", ""time/date reasoning""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.8566, ""source"": ""embedding+capability"", ""capability_score"": 0.8566, ""rank"": 1, ""matched_capabilities"": [""calendar scheduling"", ""availability coordination"", ""time/date reasoning""]}, {""agent"": ""shell"", ""score"": 0.8247, ""source"": ""capability"", ""capability_score"": 0.8247, ""rank"": 2, ""matched_capabilities"": [""calendar scheduling""]}, {""agent"": ""task_scheduler"", ""score"": 0.8183, ""source"": ""embedding+capability"", ""capability_score"": 0.8119, ""rank"": 3, ""matched_capabilities"": [""calendar scheduling""]}, {""agent"": ""email"", ""score"": 0.7933, ""source"": ""capability+blueprint"", ""capability_score"": 0.7836, ""rank"": 4, ""matched_capabilities"": [""availability coordination""]}, {""agent"": ""inventory_tracker"", ""score"": 0.7806, ""source"": ""embedding+capability"", ""capability_score"": 0.7806, ""rank"": 5, ""matched_capabilities"": [""availability coordination""]}, {""agent"": ""travel_booker"", ""score"": 0.7788, ""source"": ""capability"", ""capability_score"": 0.7788, ""rank"": 6, ""matched_capabilities"": [""time/date reasoning""]}, {""agent"": ""time_tracker"", ""score"": 0.7738, ""source"": ""embedding+capability"", ""capability_score"": 0.7738, ""rank"": 7, ""matched_capabilities"": [""time/date reasoning""]}]}]","45771","3490","49261","662","0.05959","6.6e-05","0.059656","{""gpt-5.4-mini-2026-03-17"": 0.042171, ""gpt-5.1-2025-11-13"": 0.017419}","0","0","0","0","0","0","0","[]","6","[""gather_context"", ""create_plan"", ""task_complete"", ""judge_review"", ""task_complete"", ""judge_review""]"
"","2026-07-13T12:19:38.962753+00:00","1-2","3","tasks/officebench/1-2","dynamic_pool_old_pool_20260713-officebench_test_memory_old_pool_fold_1","dynamic_pool_old_pool_20260713/officebench_test_memory_old_pool_fold_1","0","planned","","0","1","50.43","0","5","2","2","1","c968b9bb-2154-4863-b5a5-325b75c19c60","0.7511362581767895","1","0","0","1.0","[""llm""]","[]","5","{""llm"": ""embedding+capability"", ""pdf"": ""embedding+capability"", ""ocr"": ""embedding+capability"", ""audio_transcriber"": ""capability"", ""sentiment_analyzer"": ""capability"", ""calendar"": ""blueprint"", ""excel"": ""blueprint"", ""shell"": ""blueprint""}","[{""call"": 1, ""capabilities"": [""temporal reasoning"", ""information extraction""], ""unmatched"": [], ""results"": [{""agent"": ""llm"", ""score"": 0.8465, ""source"": ""embedding+capability"", ""capability_score"": 0.8465, ""rank"": 1, ""matched_capabilities"": [""temporal reasoning"", ""information extraction""]}, {""agent"": ""pdf"", ""score"": 0.8448, ""source"": ""embedding+capability"", ""capability_score"": 0.8448, ""rank"": 2, ""matched_capabilities"": [""information extraction""]}, {""agent"": ""ocr"", ""score"": 0.838, ""source"": ""embedding+capability"", ""capability_score"": 0.838, ""rank"": 3, ""matched_capabilities"": [""information extraction""]}, {""agent"": ""audio_transcriber"", ""score"": 0.7593, ""source"": ""capability"", ""capability_score"": 0.7593, ""rank"": 4, ""matched_capabilities"": [""temporal reasoning""]}, {""agent"": ""sentiment_analyzer"", ""score"": 0.7587, ""source"": ""capability"", ""capability_score"": 0.7587, ""rank"": 5, ""matched_capabilities"": [""temporal reasoning""]}, {""agent"": ""calendar"", ""score"": 0.75, ""source"": ""blueprint"", ""capability_score"": 0.0, ""rank"": 6, ""matched_capabilities"": []}, {""agent"": ""excel"", ""score"": 0.75, ""source"": ""blueprint"", ""capability_score"": 0.0, ""rank"": 7, ""matched_capabilities"": []}, {""agent"": ""shell"", ""score"": 0.75, ""source"": ""blueprint"", ""capability_score"": 0.0, ""rank"": 8, ""matched_capabilities"": []}]}]","37154","2771","39925","317","0.047636","3.2e-05","0.047668","{""gpt-5.4-mini-2026-03-17"": 0.034567, ""gpt-5.1-2025-11-13"": 0.013069}","6","0","2","0","0","0","0","[{""kind"": ""playbook_delta"", ""agent"": ""llm"", ""before_count"": 12, ""after_count"": 14, ""confirm_vote_count"": 6, ""contradict_vote_count"": 0, ""confirmed_ids"": [""llm-2"", ""llm-4"", ""llm-5"", ""llm-7"", ""llm-9"", ""llm-11""], ""contradicted_ids"": [], ""ignored_confirmed_ids"": [], ""ignored_contradicted_ids"": [], ""new_bullet_candidates"": [{""section"": ""capability"", ""rule"": ""Can answer binary comparison questions from provided context.""}, {""section"": ""limitation"", ""rule"": ""Cannot generate text when the llm backend uses unsupported OpenAI client calls.""}], ""added_count"": 2, ""added_bullets"": [{""bullet_id"": ""llm-3"", ""section"": ""capability"", ""rule"": ""Can answer binary comparison questions from provided context.""}, {""bullet_id"": ""llm-13"", ""section"": ""limitation"", ""rule"": ""Cannot generate text when the llm backend uses unsupported OpenAI client calls.""}], ""pruned_count"": 0, ""pruned_bullets"": []}]","5","[""gather_context"", ""task_complete"", ""judge_review"", ""task_complete"", ""judge_review""]"
"","2026-07-13T12:20:17.069178+00:00","1-2","4","tasks/officebench/1-2","dynamic_pool_old_pool_20260713-officebench_test_memory_old_pool_fold_1","dynamic_pool_old_pool_20260713/officebench_test_memory_old_pool_fold_1","1","planned","","1","0","23.98","0","3","2","1","1","ec7e189d-5d89-475e-adb4-9fdd8b4fd9b0","0.8046520242859208","0","0","1","4.0","[""calendar""]","[]","3","{""calendar"": ""embedding+capability"", ""social_media_poster"": ""capability"", ""shell"": ""capability"", ""travel_booker"": ""embedding+capability"", ""task_scheduler"": ""embedding+capability"", ""email"": ""blueprint""}","[{""call"": 1, ""capabilities"": [""calendar comparison"", ""schedule retrieval"", ""date-based commitment lookup""], ""unmatched"": [""date-based commitment lookup""], ""results"": [{""agent"": ""calendar"", ""score"": 0.8199, ""source"": ""embedding+capability"", ""capability_score"": 0.8102, ""rank"": 1, ""matched_capabilities"": [""calendar comparison"", ""schedule retrieval""]}, {""agent"": ""social_media_poster"", ""score"": 0.8029, ""source"": ""capability"", ""capability_score"": 0.8029, ""rank"": 2, ""matched_capabilities"": [""schedule retrieval""]}, {""agent"": ""shell"", ""score"": 0.7995, ""source"": ""capability"", ""capability_score"": 0.7995, ""rank"": 3, ""matched_capabilities"": [""calendar comparison""]}, {""agent"": ""travel_booker"", ""score"": 0.7928, ""source"": ""embedding+capability"", ""capability_score"": 0.7928, ""rank"": 4, ""matched_capabilities"": [""calendar comparison""]}, {""agent"": ""task_scheduler"", ""score"": 0.7747, ""source"": ""embedding+capability"", ""capability_score"": 0.7684, ""rank"": 5, ""matched_capabilities"": [""schedule retrieval""]}, {""agent"": ""email"", ""score"": 0.75, ""source"": ""blueprint"", ""capability_score"": 0.0, ""rank"": 6, ""matched_capabilities"": []}]}]","24443","2017","26460","259","0.034414","2.6e-05","0.03444","{""gpt-5.4-mini-2026-03-17"": 0.02128, ""gpt-5.1-2025-11-13"": 0.013134}","0","0","0","0","0","0","0","[]","5","[""gather_context"", ""task_complete"", ""judge_review"", ""task_complete"", ""judge_review""]"
