run_id,created_at_utc,task_id,subtask_id,task_dir,tag,orchestrator_variant,success,termination_reason,error_type,judge_accepted,judge_force_accepted,wall_clock_seconds,plan_created,total_delegations,submission_attempts,judge_rejections,blueprint_matched,blueprint_id,blueprint_similarity,agent_curations_run,episode_curation_run,episode_curation_skipped,episode_familiarity,executed_agents,optimal_sequence,capability_boosted_agents,agent_discovery_sources,agent_retrieval_log,total_input_tokens,total_output_tokens,total_tokens,embedding_tokens,cost_llm,cost_embedding,cost_total,cost_by_model,playbook_confirm_votes,playbook_contradict_votes,playbook_bullets_added,playbook_bullets_pruned,playbook_unconfirmed_prunes,playbook_harm_prunes,playbook_consolidation_merges,playbook_evolution,num_internal_tool_calls,tool_call_history
,2026-07-03T06:48:18.827689+00:00,1-1,0,tasks/officebench/1-1,followup_20260701-officebench_baseline_lower_rich,followup_20260701/officebench_baseline_lower_rich,1,planned,,1,0,8.35,0,1,0,0,0,,0.0,0,0,1,-1.0,"[""calendar""]",[],0,"{""calendar"": ""embedding"", ""task_scheduler"": ""embedding"", ""travel_booker"": ""embedding"", ""time_tracker"": ""embedding""}","[{""call"": 1, ""capabilities"": [""calendar scheduling"", ""date/time interpretation"", ""appointment creation""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.8426, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""calendar scheduling"", ""appointment creation""]}, {""agent"": ""task_scheduler"", ""score"": 0.8183, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""calendar scheduling"", ""appointment creation""]}, {""agent"": ""travel_booker"", ""score"": 0.7855, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""calendar scheduling"", ""appointment creation""]}, {""agent"": ""time_tracker"", ""score"": 0.7758, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""date/time interpretation""]}]}]",9819,572,10391,36,0.01011,4e-06,0.010114,"{""gpt-5.4-mini-2026-03-17"": 0.01011}",0,0,0,0,0,0,0,[],2,"[""gather_context"", ""task_complete""]"
,2026-07-03T06:49:00.672382+00:00,1-1,1,tasks/officebench/1-1,followup_20260701-officebench_baseline_lower_rich,followup_20260701/officebench_baseline_lower_rich,1,planned,,1,0,8.86,0,1,0,0,0,,0.0,0,0,1,-1.0,"[""calendar""]",[],0,"{""calendar"": ""embedding"", ""time_tracker"": ""embedding"", ""task_scheduler"": ""embedding"", ""contact_manager"": ""embedding""}","[{""call"": 1, ""capabilities"": [""calendar reminder handling"", ""date/time interpretation""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.8303, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""calendar reminder handling""]}, {""agent"": ""time_tracker"", ""score"": 0.7758, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""date/time interpretation""]}, {""agent"": ""task_scheduler"", ""score"": 0.7606, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""calendar reminder handling""]}, {""agent"": ""contact_manager"", ""score"": 0.7522, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""calendar reminder handling""]}]}]",9877,557,10434,17,0.010081,2e-06,0.010083,"{""gpt-5.4-mini-2026-03-17"": 0.010081}",0,0,0,0,0,0,0,[],2,"[""gather_context"", ""task_complete""]"
,2026-07-03T06:49:26.173936+00:00,1-1,2,tasks/officebench/1-1,followup_20260701-officebench_baseline_lower_rich,followup_20260701/officebench_baseline_lower_rich,1,planned,,1,0,10.22,1,1,0,0,0,,0.0,0,0,1,-1.0,"[""calendar""]",[],0,"{""calendar"": ""embedding"", ""task_scheduler"": ""embedding"", ""notification_sender"": ""embedding"", ""travel_booker"": ""embedding""}","[{""call"": 1, ""capabilities"": [""calendar scheduling"", ""notification/reminder setup""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.8426, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""calendar scheduling"", ""notification/reminder setup""]}, {""agent"": ""task_scheduler"", ""score"": 0.8183, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""calendar scheduling"", ""notification/reminder setup""]}, {""agent"": ""notification_sender"", ""score"": 0.8173, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""notification/reminder setup""]}, {""agent"": ""travel_booker"", ""score"": 0.7855, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""calendar scheduling""]}]}]",16274,811,17085,42,0.016098,4e-06,0.016102,"{""gpt-5.4-mini-2026-03-17"": 0.016098}",0,0,0,0,0,0,0,[],4,"[""gather_context"", ""create_plan"", ""update_step"", ""task_complete""]"
,2026-07-03T06:49:49.664712+00:00,1-1,3,tasks/officebench/1-1,followup_20260701-officebench_baseline_lower_rich,followup_20260701/officebench_baseline_lower_rich,0,planned,,1,0,8.81,0,1,0,0,0,,0.0,0,0,1,-1.0,"[""calendar""]",[],0,"{""calendar"": ""embedding"", ""signature_verifier"": ""embedding"", ""log_analyzer"": ""embedding"", ""meeting_summarizer"": ""embedding"", ""task_scheduler"": ""embedding""}","[{""call"": 1, ""capabilities"": [""schedule lookup"", ""calendar/event extraction"", ""conflict verification""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.8178, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""calendar/event extraction""]}, {""agent"": ""signature_verifier"", ""score"": 0.7767, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""conflict verification""]}, {""agent"": ""log_analyzer"", ""score"": 0.7637, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""calendar/event extraction""]}, {""agent"": ""meeting_summarizer"", ""score"": 0.7612, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""calendar/event extraction""]}, {""agent"": ""task_scheduler"", ""score"": 0.7547, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 5, ""matched_capabilities"": [""schedule lookup""]}]}]",10030,526,10556,55,0.010047,6e-06,0.010053,"{""gpt-5.4-mini-2026-03-17"": 0.010047}",0,0,0,0,0,0,0,[],2,"[""gather_context"", ""task_complete""]"
,2026-07-03T06:50:12.951347+00:00,1-1,4,tasks/officebench/1-1,followup_20260701-officebench_baseline_lower_rich,followup_20260701/officebench_baseline_lower_rich,1,planned,,1,0,8.38,0,1,0,0,0,,0.0,0,0,1,-1.0,"[""calendar""]",[],0,"{""calendar"": ""embedding"", ""time_tracker"": ""embedding"", ""task_scheduler"": ""embedding"", ""weather_service"": ""embedding"", ""chart_builder"": ""embedding""}","[{""call"": 1, ""capabilities"": [""calendar event creation"", ""date/time handling""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.8623, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""calendar event creation""]}, {""agent"": ""time_tracker"", ""score"": 0.7831, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""date/time handling""]}, {""agent"": ""task_scheduler"", ""score"": 0.7594, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""calendar event creation""]}, {""agent"": ""weather_service"", ""score"": 0.7552, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""date/time handling""]}, {""agent"": ""chart_builder"", ""score"": 0.7503, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 5, ""matched_capabilities"": [""calendar event creation""]}]}]",10046,590,10636,33,0.010366,3e-06,0.010369,"{""gpt-5.4-mini-2026-03-17"": 0.010366}",0,0,0,0,0,0,0,[],2,"[""gather_context"", ""task_complete""]"
,2026-07-03T06:50:41.926433+00:00,1-2,0,tasks/officebench/1-2,followup_20260701-officebench_baseline_lower_rich,followup_20260701/officebench_baseline_lower_rich,0,planned,,1,0,13.26,1,1,0,0,0,,0.0,0,0,1,-1.0,"[""calendar""]",[],0,"{""calendar"": ""embedding"", ""task_scheduler"": ""embedding"", ""travel_booker"": ""embedding"", ""time_tracker"": ""embedding"", ""inventory_tracker"": ""embedding"", ""ticket_manager"": ""embedding""}","[{""call"": 1, ""capabilities"": [""calendar scheduling"", ""availability matching"", ""time zone reasoning""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.8426, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""calendar scheduling""]}, {""agent"": ""task_scheduler"", ""score"": 0.8183, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""calendar scheduling""]}, {""agent"": ""travel_booker"", ""score"": 0.7855, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""calendar scheduling"", ""availability matching""]}, {""agent"": ""time_tracker"", ""score"": 0.7547, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""time zone reasoning""]}, {""agent"": ""inventory_tracker"", ""score"": 0.7529, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 5, ""matched_capabilities"": [""availability matching""]}, {""agent"": ""ticket_manager"", ""score"": 0.7506, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 6, ""matched_capabilities"": [""availability matching""]}]}]",19905,1305,21210,28,0.021193,3e-06,0.021196,"{""gpt-5.4-mini-2026-03-17"": 0.021193}",0,0,0,0,0,0,0,[],4,"[""gather_context"", ""create_plan"", ""update_step"", ""task_complete""]"
,2026-07-03T06:51:20.790907+00:00,1-2,1,tasks/officebench/1-2,followup_20260701-officebench_baseline_lower_rich,followup_20260701/officebench_baseline_lower_rich,1,planned,,1,0,23.6,1,2,0,0,0,,0.0,0,0,1,-1.0,"[""calendar""]",[],0,"{""calendar"": ""embedding"", ""task_scheduler"": ""embedding"", ""travel_booker"": ""embedding"", ""time_tracker"": ""embedding"", ""inventory_tracker"": ""embedding"", ""contact_manager"": ""embedding"", ""contract_manager"": ""embedding""}","[{""call"": 1, ""capabilities"": [""calendar scheduling"", ""availability coordination"", ""date/time reasoning""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.8426, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""calendar scheduling""]}, {""agent"": ""task_scheduler"", ""score"": 0.8183, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""calendar scheduling""]}, {""agent"": ""travel_booker"", ""score"": 0.7855, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""calendar scheduling""]}, {""agent"": ""time_tracker"", ""score"": 0.7791, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""date/time reasoning""]}, {""agent"": ""inventory_tracker"", ""score"": 0.7767, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 5, ""matched_capabilities"": [""availability coordination""]}, {""agent"": ""contact_manager"", ""score"": 0.7604, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 6, ""matched_capabilities"": [""availability coordination""]}, {""agent"": ""contract_manager"", ""score"": 0.7598, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 7, ""matched_capabilities"": [""availability coordination""]}]}]",35092,1790,36882,38,0.034911,4e-06,0.034915,"{""gpt-5.4-mini-2026-03-17"": 0.034911}",0,0,0,0,0,0,0,[],5,"[""gather_context"", ""create_plan"", ""update_step"", ""update_step"", ""task_complete""]"
,2026-07-03T06:51:46.430681+00:00,1-2,2,tasks/officebench/1-2,followup_20260701-officebench_baseline_lower_rich,followup_20260701/officebench_baseline_lower_rich,0,planned,,1,0,10.75,1,1,0,0,0,,0.0,0,0,1,-1.0,"[""calendar""]",[],0,"{""calendar"": ""embedding"", ""task_scheduler"": ""embedding"", ""travel_booker"": ""embedding"", ""inventory_tracker"": ""embedding"", ""time_tracker"": ""embedding"", ""contact_manager"": ""embedding"", ""contract_manager"": ""embedding""}","[{""call"": 1, ""capabilities"": [""calendar scheduling"", ""time/date reasoning"", ""availability coordination""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.8426, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""calendar scheduling""]}, {""agent"": ""task_scheduler"", ""score"": 0.8183, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""calendar scheduling""]}, {""agent"": ""travel_booker"", ""score"": 0.7855, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""calendar scheduling""]}, {""agent"": ""inventory_tracker"", ""score"": 0.7767, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""availability coordination""]}, {""agent"": ""time_tracker"", ""score"": 0.7733, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 5, ""matched_capabilities"": [""time/date reasoning""]}, {""agent"": ""contact_manager"", ""score"": 0.7604, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 6, ""matched_capabilities"": [""availability coordination""]}, {""agent"": ""contract_manager"", ""score"": 0.7598, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 7, ""matched_capabilities"": [""availability coordination""]}]}]",17457,669,18126,42,0.016304,4e-06,0.016308,"{""gpt-5.4-mini-2026-03-17"": 0.016304}",0,0,0,0,0,0,0,[],4,"[""gather_context"", ""create_plan"", ""update_step"", ""task_complete""]"
,2026-07-03T06:52:04.776424+00:00,1-2,3,tasks/officebench/1-2,followup_20260701-officebench_baseline_lower_rich,followup_20260701/officebench_baseline_lower_rich,1,planned,,1,0,3.17,0,0,0,0,0,,0.0,0,0,1,-1.0,[],[],0,"{""bookmark_manager"": ""embedding"", ""database"": ""embedding"", ""ocr"": ""embedding"", ""code_reviewer"": ""embedding""}","[{""call"": 1, ""capabilities"": [""information retrieval"", ""simple comparison""], ""unmatched"": [], ""results"": [{""agent"": ""bookmark_manager"", ""score"": 0.803, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""information retrieval""]}, {""agent"": ""database"", ""score"": 0.7862, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""information retrieval""]}, {""agent"": ""ocr"", ""score"": 0.7836, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""information retrieval""]}, {""agent"": ""code_reviewer"", ""score"": 0.7503, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""simple comparison""]}]}]",4407,174,4581,19,0.00414,2e-06,0.004142,"{""gpt-5.4-mini-2026-03-17"": 0.00414}",0,0,0,0,0,0,0,[],2,"[""gather_context"", ""task_complete""]"
,2026-07-03T06:52:30.056986+00:00,1-2,4,tasks/officebench/1-2,followup_20260701-officebench_baseline_lower_rich,followup_20260701/officebench_baseline_lower_rich,1,planned,,1,0,10.65,0,1,0,0,0,,0.0,0,0,1,-1.0,"[""calendar""]",[],0,"{""calendar"": ""embedding"", ""task_scheduler"": ""embedding"", ""travel_booker"": ""embedding"", ""weather_service"": ""embedding""}","[{""call"": 1, ""capabilities"": [""calendar lookup"", ""commitment comparison"", ""date-based schedule retrieval""], ""unmatched"": [""commitment comparison""], ""results"": [{""agent"": ""calendar"", ""score"": 0.7959, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""calendar lookup"", ""date-based schedule retrieval""]}, {""agent"": ""task_scheduler"", ""score"": 0.7745, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""date-based schedule retrieval""]}, {""agent"": ""travel_booker"", ""score"": 0.76, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""calendar lookup""]}, {""agent"": ""weather_service"", ""score"": 0.7573, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""calendar lookup""]}]}]",11861,744,12605,33,0.012467,3e-06,0.01247,"{""gpt-5.4-mini-2026-03-17"": 0.012467}",0,0,0,0,0,0,0,[],2,"[""gather_context"", ""task_complete""]"
