run_id,created_at_utc,task_id,subtask_id,task_dir,tag,orchestrator_variant,success,termination_reason,error_type,judge_accepted,judge_force_accepted,wall_clock_seconds,plan_created,total_delegations,submission_attempts,judge_rejections,blueprint_matched,blueprint_id,blueprint_similarity,agent_curations_run,episode_curation_run,episode_curation_skipped,episode_familiarity,executed_agents,optimal_sequence,capability_boosted_agents,agent_discovery_sources,agent_retrieval_log,total_input_tokens,total_output_tokens,total_tokens,embedding_tokens,cost_llm,cost_embedding,cost_total,cost_by_model,playbook_confirm_votes,playbook_contradict_votes,playbook_bullets_added,playbook_bullets_pruned,playbook_unconfirmed_prunes,playbook_harm_prunes,playbook_consolidation_merges,playbook_evolution,num_internal_tool_calls,tool_call_history
,2026-06-26T18:03:21.290868+00:00,1-1,0,tasks/officebench/1-1,full_rich_20260626-officebench_baseline_upper,full_rich_20260626/officebench_baseline_upper,1,planned,,1,0,19.13,0,2,1,0,0,,0.0,0,0,1,-1.0,"[""calendar""]",[],0,"{""calendar"": ""embedding"", ""task_scheduler"": ""embedding"", ""travel_booker"": ""embedding"", ""time_tracker"": ""embedding"", ""weather_service"": ""embedding""}","[{""call"": 1, ""capabilities"": [""calendar scheduling"", ""date/time handling""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.8426, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""calendar scheduling""]}, {""agent"": ""task_scheduler"", ""score"": 0.8183, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""calendar scheduling""]}, {""agent"": ""travel_booker"", ""score"": 0.7855, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""calendar scheduling""]}, {""agent"": ""time_tracker"", ""score"": 0.7831, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""date/time handling""]}, {""agent"": ""weather_service"", ""score"": 0.7552, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 5, ""matched_capabilities"": [""date/time handling""]}]}]",10966,927,11893,33,0.015173,3e-06,0.015176,"{""gpt-5.4-mini-2026-03-17"": 0.010096, ""gpt-5.1-2025-11-13"": 0.005077}",0,0,0,0,0,0,0,[],3,"[""gather_context"", ""task_complete"", ""judge_review""]"
,2026-06-26T18:03:47.715232+00:00,1-1,1,tasks/officebench/1-1,full_rich_20260626-officebench_baseline_upper,full_rich_20260626/officebench_baseline_upper,0,planned,,1,0,12.06,0,2,1,0,0,,0.0,0,0,1,-1.0,"[""notification_sender""]",[],0,"{""calendar"": ""embedding"", ""notification_sender"": ""embedding"", ""task_scheduler"": ""embedding"", ""social_media_poster"": ""embedding"", ""contract_manager"": ""embedding"", ""fitness_tracker"": ""embedding""}","[{""call"": 1, ""capabilities"": [""calendar reminder scheduling"", ""notification drafting""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.8456, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""calendar reminder scheduling""]}, {""agent"": ""notification_sender"", ""score"": 0.8264, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""notification drafting""]}, {""agent"": ""task_scheduler"", ""score"": 0.8048, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""calendar reminder scheduling""]}, {""agent"": ""social_media_poster"", ""score"": 0.7588, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""notification drafting""]}, {""agent"": ""contract_manager"", ""score"": 0.7572, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 5, ""matched_capabilities"": [""notification drafting""]}, {""agent"": ""fitness_tracker"", ""score"": 0.7516, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 6, ""matched_capabilities"": [""calendar reminder scheduling""]}]}]",8935,1035,9970,28,0.015263,3e-06,0.015266,"{""gpt-5.4-mini-2026-03-17"": 0.008081, ""gpt-5.1-2025-11-13"": 0.007182}",0,0,0,0,0,0,0,[],3,"[""gather_context"", ""task_complete"", ""judge_review""]"
,2026-06-26T18:04:19.908232+00:00,1-1,2,tasks/officebench/1-1,full_rich_20260626-officebench_baseline_upper,full_rich_20260626/officebench_baseline_upper,1,planned,,1,0,17.84,0,2,1,0,0,,0.0,0,0,1,-1.0,"[""calendar""]",[],0,"{""calendar"": ""embedding"", ""task_scheduler"": ""embedding"", ""travel_booker"": ""embedding"", ""notification_sender"": ""embedding""}","[{""call"": 1, ""capabilities"": [""calendar scheduling"", ""event creation and reminders""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.8426, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""calendar scheduling"", ""event creation and reminders""]}, {""agent"": ""task_scheduler"", ""score"": 0.8183, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""calendar scheduling"", ""event creation and reminders""]}, {""agent"": ""travel_booker"", ""score"": 0.7855, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""calendar scheduling""]}, {""agent"": ""notification_sender"", ""score"": 0.7781, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""event creation and reminders""]}]}]",10746,1191,11937,37,0.01764,4e-06,0.017644,"{""gpt-5.4-mini-2026-03-17"": 0.009933, ""gpt-5.1-2025-11-13"": 0.007707}",0,0,0,0,0,0,0,[],3,"[""gather_context"", ""task_complete"", ""judge_review""]"
,2026-06-26T18:04:57.649122+00:00,1-1,3,tasks/officebench/1-1,full_rich_20260626-officebench_baseline_upper,full_rich_20260626/officebench_baseline_upper,1,planned,,1,0,23.45,1,2,1,0,0,,0.0,0,0,1,-1.0,"[""calendar""]",[],0,"{""calendar"": ""embedding"", ""task_scheduler"": ""embedding"", ""travel_booker"": ""embedding"", ""spell_checker"": ""embedding"", ""code_reviewer"": ""embedding"", ""meeting_summarizer"": ""embedding""}","[{""call"": 1, ""capabilities"": [""calendar scheduling"", ""event interpretation"", ""conflict checking""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.8426, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""calendar scheduling""]}, {""agent"": ""task_scheduler"", ""score"": 0.8183, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""calendar scheduling""]}, {""agent"": ""travel_booker"", ""score"": 0.7855, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""calendar scheduling""]}, {""agent"": ""spell_checker"", ""score"": 0.7752, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""conflict checking""]}, {""agent"": ""code_reviewer"", ""score"": 0.7722, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 5, ""matched_capabilities"": [""conflict checking""]}, {""agent"": ""meeting_summarizer"", ""score"": 0.76, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 6, ""matched_capabilities"": [""event interpretation""]}]}]",18464,1218,19682,51,0.022263,5e-06,0.022268,"{""gpt-5.4-mini-2026-03-17"": 0.017023, ""gpt-5.1-2025-11-13"": 0.00524}",0,0,0,0,0,0,0,[],5,"[""gather_context"", ""create_plan"", ""update_step"", ""task_complete"", ""judge_review""]"
,2026-06-26T18:05:34.436449+00:00,1-1,4,tasks/officebench/1-1,full_rich_20260626-officebench_baseline_upper,full_rich_20260626/officebench_baseline_upper,1,planned,,1,0,22.59,0,2,1,0,0,,0.0,0,0,1,-1.0,"[""calendar""]",[],0,"{""calendar"": ""embedding"", ""task_scheduler"": ""embedding"", ""social_media_poster"": ""embedding"", ""time_tracker"": ""embedding"", ""chart_builder"": ""embedding""}","[{""call"": 1, ""capabilities"": [""calendar event creation"", ""date/time interpretation"", ""event scheduling""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.8623, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""calendar event creation"", ""event scheduling""]}, {""agent"": ""task_scheduler"", ""score"": 0.821, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""calendar event creation"", ""event scheduling""]}, {""agent"": ""social_media_poster"", ""score"": 0.7859, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""event scheduling""]}, {""agent"": ""time_tracker"", ""score"": 0.7758, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""date/time interpretation""]}, {""agent"": ""chart_builder"", ""score"": 0.7503, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 5, ""matched_capabilities"": [""calendar event creation""]}]}]",10956,1037,11993,35,0.01629,3e-06,0.016293,"{""gpt-5.4-mini-2026-03-17"": 0.010067, ""gpt-5.1-2025-11-13"": 0.006223}",0,0,0,0,0,0,0,[],3,"[""gather_context"", ""task_complete"", ""judge_review""]"
,2026-06-26T18:06:17.096401+00:00,1-2,0,tasks/officebench/1-2,full_rich_20260626-officebench_baseline_upper,full_rich_20260626/officebench_baseline_upper,0,planned,,1,0,28.63,1,2,1,0,0,,0.0,0,0,1,-1.0,"[""calendar""]",[],0,"{""calendar"": ""embedding"", ""task_scheduler"": ""embedding"", ""meeting_summarizer"": ""embedding"", ""travel_booker"": ""embedding"", ""inventory_tracker"": ""embedding"", ""time_tracker"": ""embedding"", ""contact_manager"": ""embedding"", ""contract_manager"": ""embedding""}","[{""call"": 1, ""capabilities"": [""calendar scheduling"", ""availability coordination"", ""meeting time finding""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.8426, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""calendar scheduling"", ""meeting time finding""]}, {""agent"": ""task_scheduler"", ""score"": 0.8183, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""calendar scheduling""]}, {""agent"": ""meeting_summarizer"", ""score"": 0.7944, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""meeting time finding""]}, {""agent"": ""travel_booker"", ""score"": 0.7855, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""calendar scheduling""]}, {""agent"": ""inventory_tracker"", ""score"": 0.7767, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 5, ""matched_capabilities"": [""availability coordination""]}, {""agent"": ""time_tracker"", ""score"": 0.7606, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 6, ""matched_capabilities"": [""meeting time finding""]}, {""agent"": ""contact_manager"", ""score"": 0.7604, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 7, ""matched_capabilities"": [""availability coordination""]}, {""agent"": ""contract_manager"", ""score"": 0.7598, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 8, ""matched_capabilities"": [""availability coordination""]}]}]",21182,1360,22542,28,0.02525,3e-06,0.025253,"{""gpt-5.4-mini-2026-03-17"": 0.019454, ""gpt-5.1-2025-11-13"": 0.005796}",0,0,0,0,0,0,0,[],5,"[""gather_context"", ""create_plan"", ""update_step"", ""task_complete"", ""judge_review""]"
,2026-06-26T18:07:01.400875+00:00,1-2,1,tasks/officebench/1-2,full_rich_20260626-officebench_baseline_upper,full_rich_20260626/officebench_baseline_upper,1,planned,,1,0,29.89,1,3,1,0,0,,0.0,0,0,1,-1.0,"[""calendar""]",[],0,"{""calendar"": ""embedding"", ""task_scheduler"": ""embedding"", ""travel_booker"": ""embedding"", ""time_tracker"": ""embedding"", ""inventory_tracker"": ""embedding"", ""contact_manager"": ""embedding"", ""contract_manager"": ""embedding""}","[{""call"": 1, ""capabilities"": [""calendar scheduling"", ""availability coordination"", ""date/time reasoning""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.8426, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""calendar scheduling""]}, {""agent"": ""task_scheduler"", ""score"": 0.8183, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""calendar scheduling""]}, {""agent"": ""travel_booker"", ""score"": 0.7855, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""calendar scheduling""]}, {""agent"": ""time_tracker"", ""score"": 0.7791, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""date/time reasoning""]}, {""agent"": ""inventory_tracker"", ""score"": 0.7767, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 5, ""matched_capabilities"": [""availability coordination""]}, {""agent"": ""contact_manager"", ""score"": 0.7604, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 6, ""matched_capabilities"": [""availability coordination""]}, {""agent"": ""contract_manager"", ""score"": 0.7598, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 7, ""matched_capabilities"": [""availability coordination""]}]}]",28234,2335,30569,38,0.035916,4e-06,0.03592,"{""gpt-5.4-mini-2026-03-17"": 0.028607, ""gpt-5.1-2025-11-13"": 0.007309}",0,0,0,0,0,0,0,[],4,"[""gather_context"", ""create_plan"", ""task_complete"", ""judge_review""]"
,2026-06-26T18:07:36.697427+00:00,1-2,2,tasks/officebench/1-2,full_rich_20260626-officebench_baseline_upper,full_rich_20260626/officebench_baseline_upper,0,planned,,1,0,21.05,1,2,1,0,0,,0.0,0,0,1,-1.0,"[""calendar""]",[],0,"{""calendar"": ""embedding"", ""task_scheduler"": ""embedding"", ""travel_booker"": ""embedding"", ""time_tracker"": ""embedding"", ""weather_service"": ""embedding"", ""inventory_tracker"": ""embedding""}","[{""call"": 1, ""capabilities"": [""calendar scheduling"", ""availability reasoning"", ""time/date interpretation""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.8426, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""calendar scheduling""]}, {""agent"": ""task_scheduler"", ""score"": 0.8183, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""calendar scheduling""]}, {""agent"": ""travel_booker"", ""score"": 0.7855, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""calendar scheduling"", ""availability reasoning""]}, {""agent"": ""time_tracker"", ""score"": 0.771, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""time/date interpretation""]}, {""agent"": ""weather_service"", ""score"": 0.753, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 5, ""matched_capabilities"": [""time/date interpretation""]}, {""agent"": ""inventory_tracker"", ""score"": 0.7525, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 6, ""matched_capabilities"": [""availability reasoning""]}]}]",21034,1555,22589,38,0.026172,4e-06,0.026176,"{""gpt-5.4-mini-2026-03-17"": 0.020145, ""gpt-5.1-2025-11-13"": 0.006027}",0,0,0,0,0,0,0,[],5,"[""gather_context"", ""create_plan"", ""update_step"", ""task_complete"", ""judge_review""]"
,2026-06-26T18:08:03.211363+00:00,1-2,3,tasks/officebench/1-2,full_rich_20260626-officebench_baseline_upper,full_rich_20260626/officebench_baseline_upper,0,planned,,1,0,12.07,0,2,1,0,0,,0.0,0,0,1,-1.0,"[""time_tracker""]",[],0,"{""bookmark_manager"": ""embedding"", ""database"": ""embedding"", ""ocr"": ""embedding"", ""time_tracker"": ""embedding""}","[{""call"": 1, ""capabilities"": [""information retrieval"", ""temporal reasoning""], ""unmatched"": [], ""results"": [{""agent"": ""bookmark_manager"", ""score"": 0.803, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""information retrieval""]}, {""agent"": ""database"", ""score"": 0.7862, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""information retrieval""]}, {""agent"": ""ocr"", ""score"": 0.7836, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""information retrieval""]}, {""agent"": ""time_tracker"", ""score"": 0.753, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""temporal reasoning""]}]}]",8175,727,8902,23,0.012207,2e-06,0.012209,"{""gpt-5.4-mini-2026-03-17"": 0.007001, ""gpt-5.1-2025-11-13"": 0.005206}",0,0,0,0,0,0,0,[],3,"[""gather_context"", ""task_complete"", ""judge_review""]"
,2026-06-26T18:08:41.774084+00:00,1-2,4,tasks/officebench/1-2,full_rich_20260626-officebench_baseline_upper,full_rich_20260626/officebench_baseline_upper,1,planned,,1,0,24.3,0,2,1,0,0,,0.0,0,0,1,-1.0,"[""calendar""]",[],0,"{""calendar"": ""embedding"", ""task_scheduler"": ""embedding"", ""travel_booker"": ""embedding"", ""weather_service"": ""embedding""}","[{""call"": 1, ""capabilities"": [""calendar lookup"", ""commitment comparison"", ""date-based schedule retrieval""], ""unmatched"": [""commitment comparison""], ""results"": [{""agent"": ""calendar"", ""score"": 0.7959, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""calendar lookup"", ""date-based schedule retrieval""]}, {""agent"": ""task_scheduler"", ""score"": 0.7745, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""date-based schedule retrieval""]}, {""agent"": ""travel_booker"", ""score"": 0.76, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""calendar lookup""]}, {""agent"": ""weather_service"", ""score"": 0.7573, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""calendar lookup""]}]}]",12560,875,13435,33,0.015992,3e-06,0.015995,"{""gpt-5.4-mini-2026-03-17"": 0.011162, ""gpt-5.1-2025-11-13"": 0.00483}",0,0,0,0,0,0,0,[],3,"[""gather_context"", ""task_complete"", ""judge_review""]"
