run_id,created_at_utc,task_id,subtask_id,task_dir,model_name,tag,orchestrator_variant,success,termination_reason,error_type,judge_accepted,judge_force_accepted,wall_clock_seconds,plan_created,total_delegations,submission_attempts,judge_rejections,template_matched,template_id,template_similarity,memo_hits,agent_curations_run,episode_curation_run,episode_curation_skipped,episode_familiarity,executed_agents,optimal_sequence,capability_boosted_agents,agent_discovery_sources,agent_retrieval_log,total_input_tokens,total_output_tokens,total_tokens,embedding_tokens,cost_llm,cost_embedding,cost_total,playbook_confirm_votes,playbook_contradict_votes,playbook_bullets_added,playbook_bullets_pruned,playbook_unconfirmed_prunes,playbook_harm_prunes,playbook_consolidation_merges,playbook_evolution,num_internal_tool_calls,tool_call_history
019e20fc-b6e0-7e40-b8e3-b4dce5c7cd61,2026-05-13T10:58:35.116306+00:00,1-1,0,tasks/officebench/1-1,gpt-5.1,final-sparse_cards_baseline,final/sparse_cards_baseline,1,planned,,1,0,21.85,0,2,0,0,0,,0.0,0,0,0,1,-1.0,"[""calendar""]",[],0,"{""calendar"": ""embedding"", ""api_tester"": ""embedding"", ""time_tracker"": ""embedding"", ""social_media_poster"": ""embedding"", ""task_scheduler"": ""embedding""}","[{""call"": 1, ""capabilities"": [""calendar scheduling"", ""calendar API integration"", ""date/time parsing""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.8833, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""calendar scheduling"", ""calendar API integration""]}, {""agent"": ""api_tester"", ""score"": 0.7787, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""calendar API integration""]}, {""agent"": ""time_tracker"", ""score"": 0.7633, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""date/time parsing""]}, {""agent"": ""social_media_poster"", ""score"": 0.7599, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""date/time parsing""]}, {""agent"": ""task_scheduler"", ""score"": 0.7528, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 5, ""matched_capabilities"": [""calendar scheduling""]}]}]",18546,987,19533,74,0.01850805103046732,6.999999999999736e-06,0.01851505103046732,0,0,0,0,0,0,0,[],2,"[""gather_context"", ""task_complete""]"
019e20fd-432a-7f70-98ed-3c189895729d,2026-05-13T10:59:01.887803+00:00,1-1,1,tasks/officebench/1-1,gpt-5.1,final-sparse_cards_baseline,final/sparse_cards_baseline,1,planned,,1,0,12.79,0,1,0,0,0,,0.0,0,0,0,1,-1.0,"[""calendar""]",[],0,"{""calendar"": ""embedding"", ""notification_sender"": ""embedding"", ""time_tracker"": ""embedding"", ""social_media_poster"": ""embedding""}","[{""call"": 1, ""capabilities"": [""calendar reminder creation"", ""date/time parsing and formatting"", ""notification/reminder message drafting""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.877, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""calendar reminder creation""]}, {""agent"": ""notification_sender"", ""score"": 0.8585, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""notification/reminder message drafting""]}, {""agent"": ""time_tracker"", ""score"": 0.7741, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""date/time parsing and formatting""]}, {""agent"": ""social_media_poster"", ""score"": 0.7643, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""date/time parsing and formatting""]}]}]",10081,511,10592,77,0.009941103679120053,7.9999999999997e-06,0.009949103679120053,0,0,0,0,0,0,0,[],2,"[""gather_context"", ""task_complete""]"
019e20fd-aadb-7241-a881-6200dc746c39,2026-05-13T10:59:29.951986+00:00,1-1,2,tasks/officebench/1-1,gpt-5.1,final-sparse_cards_baseline,final/sparse_cards_baseline,1,planned,,1,0,14.22,0,1,0,0,0,,0.0,0,0,0,1,-1.0,"[""calendar""]",[],0,"{""calendar"": ""embedding"", ""recipe_finder"": ""embedding"", ""time_tracker"": ""embedding"", ""api_tester"": ""embedding""}","[{""call"": 1, ""capabilities"": [""calendar event creation"", ""date/time parsing and timezone handling"", ""ICS file generation or calendar API instructions""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.9019, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""calendar event creation"", ""ICS file generation or calendar API instructions""]}, {""agent"": ""recipe_finder"", ""score"": 0.7735, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""ICS file generation or calendar API instructions""]}, {""agent"": ""time_tracker"", ""score"": 0.7589, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""date/time parsing and timezone handling""]}, {""agent"": ""api_tester"", ""score"": 0.7571, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""ICS file generation or calendar API instructions""]}]}]",10405,825,11230,77,0.011652246572286837,7.9999999999997e-06,0.011660246572286837,0,0,0,0,0,0,0,[],2,"[""gather_context"", ""task_complete""]"
019e20fe-1983-71e2-94f5-414915dd20fb,2026-05-13T10:59:57.965010+00:00,1-1,3,tasks/officebench/1-1,gpt-5.1,final-sparse_cards_baseline,final/sparse_cards_baseline,1,planned,,1,0,13.92,0,1,0,0,0,,0.0,0,0,0,1,-1.0,"[""calendar""]",[],0,"{""calendar"": ""embedding"", ""email"": ""embedding"", ""time_tracker"": ""embedding"", ""task_scheduler"": ""embedding"", ""contract_manager"": ""embedding"", ""social_media_poster"": ""embedding""}","[{""call"": 1, ""capabilities"": [""calendar scheduling"", ""class timetable lookup"", ""email/message drafting"", ""time/date parsing and conflict checking""], ""unmatched"": [""class timetable lookup""], ""results"": [{""agent"": ""calendar"", ""score"": 0.8833, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""calendar scheduling""]}, {""agent"": ""email"", ""score"": 0.8431, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""email/message drafting""]}, {""agent"": ""time_tracker"", ""score"": 0.7533, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""time/date parsing and conflict checking""]}, {""agent"": ""task_scheduler"", ""score"": 0.7528, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""calendar scheduling""]}, {""agent"": ""contract_manager"", ""score"": 0.7526, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 5, ""matched_capabilities"": [""email/message drafting""]}, {""agent"": ""social_media_poster"", ""score"": 0.7502, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 6, ""matched_capabilities"": [""time/date parsing and conflict checking""]}]}]",10699,700,11399,86,0.011289049940695635,8.999999999999661e-06,0.011298049940695635,0,0,0,0,0,0,0,[],2,"[""gather_context"", ""task_complete""]"
019e20fe-8657-7d63-9076-5b3313972bf8,2026-05-13T11:00:27.178715+00:00,1-1,4,tasks/officebench/1-1,gpt-5.1,final-sparse_cards_baseline,final/sparse_cards_baseline,1,planned,,1,0,15.29,0,1,0,0,0,,0.0,0,0,0,1,-1.0,"[""calendar""]",[],0,"{""calendar"": ""embedding"", ""time_tracker"": ""embedding"", ""xml_parser"": ""embedding"", ""invoice_processor"": ""embedding"", ""log_analyzer"": ""embedding""}","[{""call"": 1, ""capabilities"": [""calendar event creation"", ""date parsing and formatting"", ""time zone handling""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.9019, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""calendar event creation""]}, {""agent"": ""time_tracker"", ""score"": 0.7992, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""time zone handling""]}, {""agent"": ""xml_parser"", ""score"": 0.7824, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""date parsing and formatting""]}, {""agent"": ""invoice_processor"", ""score"": 0.7821, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""date parsing and formatting""]}, {""agent"": ""log_analyzer"", ""score"": 0.7765, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 5, ""matched_capabilities"": [""date parsing and formatting""]}]}]",10417,607,11024,78,0.010641286876105154,7.9999999999997e-06,0.010649286876105153,0,0,0,0,0,0,0,[],2,"[""gather_context"", ""task_complete""]"
019e20fe-fadd-7960-b99f-c6b5bec4ca59,2026-05-13T11:01:04.303211+00:00,1-2,0,tasks/officebench/1-2,gpt-5.1,final-sparse_cards_baseline,final/sparse_cards_baseline,0,planned,,1,0,22.57,0,1,0,0,0,,0.0,0,0,0,1,-1.0,"[""calendar""]",[],0,"{""calendar"": ""embedding"", ""meeting_summarizer"": ""embedding"", ""time_tracker"": ""embedding""}","[{""call"": 1, ""capabilities"": [""calendar availability lookup"", ""time zone handling"", ""meeting scheduling"", ""find overlapping availability""], ""unmatched"": [""find overlapping availability""], ""results"": [{""agent"": ""calendar"", ""score"": 0.8515, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""calendar availability lookup""]}, {""agent"": ""meeting_summarizer"", ""score"": 0.8319, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""meeting scheduling""]}, {""agent"": ""time_tracker"", ""score"": 0.7992, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""time zone handling""]}]}]",13126,1412,14538,88,0.016437455800880352,8.999999999999661e-06,0.01644645580088035,0,0,0,0,0,0,0,[],2,"[""gather_context"", ""task_complete""]"
019e20ff-8cd8-73a0-ac76-b1a124b853c0,2026-05-13T11:01:52.783019+00:00,1-2,1,tasks/officebench/1-2,gpt-5.1,final-sparse_cards_baseline,final/sparse_cards_baseline,0,planned,,1,0,33.7,0,2,0,0,0,,0.0,0,0,0,1,-1.0,"[""calendar""]",[],0,"{""calendar"": ""embedding"", ""task_scheduler"": ""embedding"", ""social_media_poster"": ""embedding"", ""time_tracker"": ""embedding""}","[{""call"": 1, ""capabilities"": [""calendar availability lookup"", ""date/time reasoning"", ""scheduling coordination""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.8515, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""calendar availability lookup""]}, {""agent"": ""task_scheduler"", ""score"": 0.8419, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""scheduling coordination""]}, {""agent"": ""social_media_poster"", ""score"": 0.8194, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""date/time reasoning"", ""scheduling coordination""]}, {""agent"": ""time_tracker"", ""score"": 0.7755, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""date/time reasoning""]}]}]",25162,1711,26873,84,0.026850340671551856,7.9999999999997e-06,0.026858340671551857,0,0,0,0,0,0,0,[],2,"[""gather_context"", ""task_complete""]"
019e2100-4ab3-7a93-87f0-7500510c85e5,2026-05-13T11:02:31.362154+00:00,1-2,2,tasks/officebench/1-2,gpt-5.1,final-sparse_cards_baseline,final/sparse_cards_baseline,0,planned,,1,0,23.76,0,1,0,0,0,,0.0,0,0,0,1,-1.0,"[""calendar""]",[],0,"{""calendar"": ""embedding"", ""social_media_poster"": ""embedding"", ""time_tracker"": ""embedding"", ""task_scheduler"": ""embedding""}","[{""call"": 1, ""capabilities"": [""date/time scheduling"", ""calendar availability reasoning"", ""time window selection""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.857, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""calendar availability reasoning""]}, {""agent"": ""social_media_poster"", ""score"": 0.822, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""date/time scheduling""]}, {""agent"": ""time_tracker"", ""score"": 0.8077, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""time window selection""]}, {""agent"": ""task_scheduler"", ""score"": 0.7947, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""date/time scheduling""]}]}]",13409,1464,14873,100,0.01689425981174764,9.999999999999626e-06,0.01690425981174764,0,0,0,0,0,0,0,[],2,"[""gather_context"", ""task_complete""]"
019e2100-e191-71e0-83ed-f2c71af23678,2026-05-13T11:03:05.859905+00:00,1-2,3,tasks/officebench/1-2,gpt-5.1,final-sparse_cards_baseline,final/sparse_cards_baseline,1,planned,,1,0,19.55,0,2,0,0,0,,0.0,0,0,0,1,-1.0,"[""time_tracker"", ""code_reviewer""]",[],0,"{""survey_builder"": ""embedding"", ""time_tracker"": ""embedding"", ""code_reviewer"": ""embedding""}","[{""call"": 1, ""capabilities"": [""time reasoning"", ""logic comparison"", ""question answering""], ""unmatched"": [""logic comparison""], ""results"": [{""agent"": ""survey_builder"", ""score"": 0.8267, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""question answering""]}, {""agent"": ""time_tracker"", ""score"": 0.8262, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""time reasoning""]}]}, {""call"": 2, ""capabilities"": [""logic comparison"", ""question answering"", ""common-sense inference""], ""unmatched"": [""logic comparison""], ""results"": [{""agent"": ""survey_builder"", ""score"": 0.8267, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""question answering""]}, {""agent"": ""code_reviewer"", ""score"": 0.7789, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""common-sense inference""]}]}, {""call"": 3, ""capabilities"": [""question answering"", ""common-sense inference"", ""logic comparison""], ""unmatched"": [""logic comparison""], ""results"": [{""agent"": ""survey_builder"", ""score"": 0.8267, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""question answering""]}, {""agent"": ""code_reviewer"", ""score"": 0.7789, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""common-sense inference""]}]}]",14996,610,15606,130,0.014086038433465113,1.2999999999999508e-05,0.014099038433465112,0,0,0,0,0,0,0,[],3,"[""gather_context"", ""gather_context"", ""task_complete""]"
019e2101-689c-7630-8f36-1c760cca32ad,2026-05-13T11:03:47.394227+00:00,1-2,4,tasks/officebench/1-2,gpt-5.1,final-sparse_cards_baseline,final/sparse_cards_baseline,1,planned,,1,0,26.56,0,2,0,0,0,,0.0,0,0,0,1,-1.0,"[""calendar""]",[],0,"{""calendar"": ""embedding"", ""social_media_poster"": ""embedding""}","[{""call"": 1, ""capabilities"": [""calendar commitments lookup"", ""date-specific schedule comparison"", ""personal calendar retrieval""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.8617, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""calendar commitments lookup"", ""personal calendar retrieval""]}, {""agent"": ""social_media_poster"", ""score"": 0.7799, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""date-specific schedule comparison""]}]}]",19846,1458,21304,79,0.021686957630683082,7.9999999999997e-06,0.021694957630683083,0,0,0,0,0,0,0,[],2,"[""gather_context"", ""task_complete""]"
019e2102-087c-7093-8b42-d7bbfcc48102,2026-05-13T11:04:33.770987+00:00,1-4,0,tasks/officebench/1-4,gpt-5.1,final-sparse_cards_baseline,final/sparse_cards_baseline,0,planned,,1,0,31.94,0,1,0,0,0,,0.0,0,0,0,1,-1.0,"[""excel""]",[],0,"{""excel"": ""embedding"", ""database"": ""embedding""}","[{""call"": 1, ""capabilities"": [""Excel/spreadsheet editing"", ""data extraction from Excel"", ""file manipulation""], ""unmatched"": [], ""results"": [{""agent"": ""excel"", ""score"": 0.9124, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""Excel/spreadsheet editing"", ""data extraction from Excel""]}, {""agent"": ""database"", ""score"": 0.7816, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""file manipulation""]}]}]",21222,2106,23328,81,0.025749517891265096,7.9999999999997e-06,0.025757517891265097,0,0,0,0,0,0,0,[],2,"[""gather_context"", ""task_complete""]"
019e2102-c0d4-7081-9fb4-8360a71e5478,2026-05-13T11:05:05.598478+00:00,1-4,1,tasks/officebench/1-4,gpt-5.1,final-sparse_cards_baseline,final/sparse_cards_baseline,1,planned,,1,0,16.7,0,1,0,0,0,,0.0,0,0,0,1,-1.0,"[""excel""]",[],0,"{""excel"": ""embedding"", ""inventory_tracker"": ""embedding"", ""recipe_finder"": ""embedding"", ""video_editor"": ""embedding"", ""meeting_summarizer"": ""embedding""}","[{""call"": 1, ""capabilities"": [""excel file editing"", ""shopping list item addition"", ""file access or update instructions""], ""unmatched"": [], ""results"": [{""agent"": ""excel"", ""score"": 0.9073, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""excel file editing""]}, {""agent"": ""inventory_tracker"", ""score"": 0.8128, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""shopping list item addition""]}, {""agent"": ""recipe_finder"", ""score"": 0.7843, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""file access or update instructions""]}, {""agent"": ""video_editor"", ""score"": 0.7782, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""excel file editing""]}, {""agent"": ""meeting_summarizer"", ""score"": 0.756, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 5, ""matched_capabilities"": [""shopping list item addition""]}]}]",13993,737,14730,78,0.013928778036281262,7.9999999999997e-06,0.013936778036281261,0,0,0,0,0,0,0,[],2,"[""gather_context"", ""task_complete""]"
