run_id,created_at_utc,task_id,subtask_id,task_dir,model_name,tag,orchestrator_variant,success,termination_reason,error_type,judge_accepted,judge_force_accepted,wall_clock_seconds,plan_created,total_delegations,submission_attempts,judge_rejections,template_matched,template_id,template_similarity,memo_hits,agent_curations_run,episode_curation_run,episode_curation_skipped,episode_familiarity,executed_agents,optimal_sequence,capability_boosted_agents,agent_discovery_sources,agent_retrieval_log,total_input_tokens,total_output_tokens,total_tokens,embedding_tokens,cost_llm,cost_embedding,cost_total,playbook_confirm_votes,playbook_contradict_votes,playbook_bullets_added,playbook_bullets_pruned,playbook_unconfirmed_prunes,playbook_harm_prunes,playbook_consolidation_merges,playbook_evolution,num_internal_tool_calls,tool_call_history
019e28c0-72c6-72b3-9280-5e677dd75549,2026-05-14T23:09:39.485471+00:00,1-1,0,tasks/officebench/1-1,gpt-5.4-nano,nano-sparse_baseline_upper_fold1,nano/sparse_baseline_upper_fold1,1,planned,,1,0,18.28,0,2,1,0,0,,0.0,0,0,0,1,-1.0,"[""calendar""]",[],0,"{""calendar"": ""embedding"", ""time_tracker"": ""embedding"", ""social_media_poster"": ""embedding"", ""task_scheduler"": ""embedding""}","[{""call"": 1, ""capabilities"": [""calendar scheduling"", ""date/time parsing"", ""create calendar event""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.8935, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""calendar scheduling"", ""create calendar event""]}, {""agent"": ""time_tracker"", ""score"": 0.7629, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""date/time parsing""]}, {""agent"": ""social_media_poster"", ""score"": 0.7599, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""date/time parsing""]}, {""agent"": ""task_scheduler"", ""score"": 0.7532, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""calendar scheduling""]}]}]",13765,972,14737,81,0.01592796947712266,7.999999999999464e-06,0.015935969477122662,0,0,0,0,0,0,0,[],3,"[""gather_context"", ""task_complete"", ""judge_review""]"
019e28c0-f295-7be2-8dcf-6ed6db651a50,2026-05-14T23:10:07.520563+00:00,1-1,1,tasks/officebench/1-1,gpt-5.4-nano,nano-sparse_baseline_upper_fold1,nano/sparse_baseline_upper_fold1,1,planned,,1,0,13.48,0,2,1,0,0,,0.0,0,0,0,1,-1.0,"[""calendar""]",[],0,"{""calendar"": ""embedding"", ""notification_sender"": ""embedding"", ""social_media_poster"": ""embedding"", ""time_tracker"": ""embedding""}","[{""call"": 1, ""capabilities"": [""calendar reminder creation"", ""date/time formatting"", ""notification/reminder phrasing""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.877, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""calendar reminder creation""]}, {""agent"": ""notification_sender"", ""score"": 0.8358, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""notification/reminder phrasing""]}, {""agent"": ""social_media_poster"", ""score"": 0.7724, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""date/time formatting""]}, {""agent"": ""time_tracker"", ""score"": 0.7659, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""date/time formatting""]}]}]",11055,676,11731,74,0.012267105524719431,6.9999999999995315e-06,0.012274105524719432,0,0,0,0,0,0,0,[],3,"[""gather_context"", ""task_complete"", ""judge_review""]"
019e28c1-5f87-7741-abea-6002f522ddc9,2026-05-14T23:10:45.438036+00:00,1-1,2,tasks/officebench/1-1,gpt-5.4-nano,nano-sparse_baseline_upper_fold1,nano/sparse_baseline_upper_fold1,1,planned,,1,0,23.51,0,4,1,0,0,,0.0,0,0,0,1,-1.0,"[""calendar"", ""notification_sender""]",[],0,"{""calendar"": ""embedding"", ""notification_sender"": ""embedding"", ""time_tracker"": ""embedding""}","[{""call"": 1, ""capabilities"": [""calendar event creation"", ""date/time parsing and timezone handling"", ""notification/reminder setup""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.9019, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""calendar event creation""]}, {""agent"": ""notification_sender"", ""score"": 0.8447, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""notification/reminder setup""]}, {""agent"": ""time_tracker"", ""score"": 0.7586, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""date/time parsing and timezone handling""]}]}]",21106,1484,22590,73,0.024389703261844163,6.9999999999995315e-06,0.024396703261844163,0,0,0,0,0,0,0,[],3,"[""gather_context"", ""task_complete"", ""judge_review""]"
019e28c1-f0ad-76b0-bc5d-4ab770dccc8d,2026-05-14T23:11:14.821180+00:00,1-1,3,tasks/officebench/1-1,gpt-5.4-nano,nano-sparse_baseline_upper_fold1,nano/sparse_baseline_upper_fold1,1,planned,,1,0,15.72,0,2,1,0,0,,0.0,0,0,0,1,-1.0,"[""calendar""]",[],0,"{""calendar"": ""embedding"", ""email"": ""embedding"", ""currency_converter"": ""embedding"", ""contract_manager"": ""embedding"", ""dns_resolver"": ""embedding"", ""task_scheduler"": ""embedding"", ""time_tracker"": ""embedding""}","[{""call"": 1, ""capabilities"": [""calendar scheduling"", ""class schedule lookup"", ""time/date conversion and conflict checking"", ""email/message drafting to registrar or instructor""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.8833, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""calendar scheduling""]}, {""agent"": ""email"", ""score"": 0.8257, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""email/message drafting to registrar or instructor""]}, {""agent"": ""currency_converter"", ""score"": 0.7778, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""time/date conversion and conflict checking""]}, {""agent"": ""contract_manager"", ""score"": 0.769, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""email/message drafting to registrar or instructor""]}, {""agent"": ""dns_resolver"", ""score"": 0.7539, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 5, ""matched_capabilities"": [""class schedule lookup""]}, {""agent"": ""task_scheduler"", ""score"": 0.7532, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 6, ""matched_capabilities"": [""calendar scheduling""]}, {""agent"": ""time_tracker"", ""score"": 0.7518, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 7, ""matched_capabilities"": [""time/date conversion and conflict checking""]}]}]",14631,1135,15766,114,0.01744128714165783,1.0999999999999266e-05,0.01745228714165783,0,0,0,0,0,0,0,[],3,"[""gather_context"", ""task_complete"", ""judge_review""]"
019e28c2-6273-7570-a39e-b50a1b0d274c,2026-05-14T23:11:44.453169+00:00,1-1,4,tasks/officebench/1-1,gpt-5.4-nano,nano-sparse_baseline_upper_fold1,nano/sparse_baseline_upper_fold1,1,planned,,1,0,16.2,0,2,1,0,0,,0.0,0,0,0,1,-1.0,"[""calendar""]",[],0,"{""calendar"": ""embedding"", ""time_tracker"": ""embedding"", ""xml_parser"": ""embedding"", ""invoice_processor"": ""embedding"", ""log_analyzer"": ""embedding""}","[{""call"": 1, ""capabilities"": [""calendar event creation"", ""date parsing and formatting"", ""time zone handling""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.9019, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""calendar event creation""]}, {""agent"": ""time_tracker"", ""score"": 0.7992, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""time zone handling""]}, {""agent"": ""xml_parser"", ""score"": 0.7824, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""date parsing and formatting""]}, {""agent"": ""invoice_processor"", ""score"": 0.7821, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""date parsing and formatting""]}, {""agent"": ""log_analyzer"", ""score"": 0.7765, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 5, ""matched_capabilities"": [""date parsing and formatting""]}]}]",13865,988,14853,70,0.01608853368556143,6.9999999999995315e-06,0.01609553368556143,0,0,0,0,0,0,0,[],3,"[""gather_context"", ""task_complete"", ""judge_review""]"
019e28c2-d4fb-7143-8752-6dce5f50a4f4,2026-05-14T23:13:03.650363+00:00,1-2,0,tasks/officebench/1-2,gpt-5.4-nano,nano-sparse_baseline_upper_fold1,nano/sparse_baseline_upper_fold1,0,planned,,1,0,66.05,0,6,2,1,0,,0.0,0,0,0,1,-1.0,"[""calendar""]",[],0,"{""calendar"": ""embedding"", ""meeting_summarizer"": ""embedding"", ""task_scheduler"": ""embedding"", ""social_media_poster"": ""embedding"", ""time_tracker"": ""embedding""}","[{""call"": 1, ""capabilities"": [""calendar availability matching"", ""time zone handling"", ""scheduling/meeting time suggestion""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.8781, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""calendar availability matching""]}, {""agent"": ""meeting_summarizer"", ""score"": 0.8182, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""scheduling/meeting time suggestion""]}, {""agent"": ""task_scheduler"", ""score"": 0.8033, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""scheduling/meeting time suggestion""]}, {""agent"": ""social_media_poster"", ""score"": 0.7999, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""scheduling/meeting time suggestion""]}, {""agent"": ""time_tracker"", ""score"": 0.7992, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 5, ""matched_capabilities"": [""time zone handling""]}]}]",64579,5876,70455,78,0.08132978567943132,7.999999999999464e-06,0.08133778567943131,0,0,0,0,0,0,0,[],5,"[""gather_context"", ""task_complete"", ""judge_review"", ""task_complete"", ""judge_review""]"
019e28c4-0c1b-76f3-9bdf-d6284a5da2c6,2026-05-14T23:13:41.659692+00:00,1-2,1,tasks/officebench/1-2,gpt-5.4-nano,nano-sparse_baseline_upper_fold1,nano/sparse_baseline_upper_fold1,1,planned,,1,0,24.46,0,2,1,0,0,,0.0,0,0,0,1,-1.0,"[""calendar""]",[],0,"{""calendar"": ""embedding"", ""task_scheduler"": ""embedding"", ""social_media_poster"": ""embedding"", ""time_tracker"": ""embedding""}","[{""call"": 1, ""capabilities"": [""calendar availability lookup"", ""scheduling coordination"", ""time zone handling"", ""calendar event creation""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.9019, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""calendar availability lookup"", ""calendar event creation""]}, {""agent"": ""task_scheduler"", ""score"": 0.842, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""scheduling coordination""]}, {""agent"": ""social_media_poster"", ""score"": 0.8194, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""scheduling coordination""]}, {""agent"": ""time_tracker"", ""score"": 0.7992, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""time zone handling""]}]}]",19662,1776,21438,85,0.02469477525787773,8.999999999999399e-06,0.02470377525787773,0,0,0,0,0,0,0,[],3,"[""gather_context"", ""task_complete"", ""judge_review""]"
019e28c4-a18c-7472-91e5-105a9ce049e7,2026-05-14T23:14:21.202554+00:00,1-2,2,tasks/officebench/1-2,gpt-5.4-nano,nano-sparse_baseline_upper_fold1,nano/sparse_baseline_upper_fold1,0,planned,,1,0,25.75,0,3,1,0,0,,0.0,0,0,0,1,-1.0,"[""calendar""]",[],0,"{""calendar"": ""embedding"", ""social_media_poster"": ""embedding"", ""task_scheduler"": ""embedding"", ""weather_service"": ""embedding"", ""time_tracker"": ""embedding""}","[{""call"": 1, ""capabilities"": [""date/time scheduling"", ""calendar availability reasoning"", ""time zone and day-of-week handling""], ""unmatched"": [], ""results"": [{""agent"": ""calendar"", ""score"": 0.857, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""calendar availability reasoning""]}, {""agent"": ""social_media_poster"", ""score"": 0.822, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""date/time scheduling""]}, {""agent"": ""task_scheduler"", ""score"": 0.7948, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""date/time scheduling""]}, {""agent"": ""weather_service"", ""score"": 0.7838, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""time zone and day-of-week handling""]}, {""agent"": ""time_tracker"", ""score"": 0.7653, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 5, ""matched_capabilities"": [""time zone and day-of-week handling""]}]}]",20377,1870,22247,105,0.025742456717940468,1.0999999999999266e-05,0.02575345671794047,0,0,0,0,0,0,0,[],3,"[""gather_context"", ""task_complete"", ""judge_review""]"
019e28c5-3a99-71d0-8b1d-2d54d394e40e,2026-05-14T23:15:02.169177+00:00,1-2,3,tasks/officebench/1-2,gpt-5.4-nano,nano-sparse_baseline_upper_fold1,nano/sparse_baseline_upper_fold1,0,planned,,0,1,27.5,0,6,2,2,0,,0.0,0,0,0,1,-1.0,"[""social_media_poster"", ""task_scheduler"", ""password_manager"", ""contact_manager""]",[],0,"{""task_scheduler"": ""embedding"", ""social_media_poster"": ""embedding"", ""survey_builder"": ""embedding"", ""data_anonymizer"": ""embedding"", ""invoice_processor"": ""embedding"", ""recipe_finder"": ""embedding"", ""password_manager"": ""embedding"", ""travel_booker"": ""embedding"", ""weather_service"": ""embedding"", ""backup_manager"": ""embedding"", ""currency_converter"": ""embedding"", ""contact_manager"": ""embedding""}","[{""call"": 1, ""capabilities"": [""agent that can infer daily routines from minimal context"", ""agent that can reason about missing personal schedule information and ask clarifying questions""], ""unmatched"": [], ""results"": [{""agent"": ""task_scheduler"", ""score"": 0.8286, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""agent that can infer daily routines from minimal context""]}, {""agent"": ""social_media_poster"", ""score"": 0.8097, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""agent that can reason about missing personal schedule information and ask clarifying questions""]}, {""agent"": ""survey_builder"", ""score"": 0.7982, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""agent that can reason about missing personal schedule information and ask clarifying questions""]}, {""agent"": ""data_anonymizer"", ""score"": 0.792, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""agent that can reason about missing personal schedule information and ask clarifying questions""]}, {""agent"": ""invoice_processor"", ""score"": 0.768, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 5, ""matched_capabilities"": [""agent that can infer daily routines from minimal context""]}, {""agent"": ""recipe_finder"", ""score"": 0.7577, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 6, ""matched_capabilities"": [""agent that can infer daily routines from minimal context""]}]}, {""call"": 2, ""capabilities"": [""agent that can infer or reason about wake-up times from minimal context"", ""agent that can ask clarifying questions when wake-up times are missing""], ""unmatched"": [], ""results"": [{""agent"": ""task_scheduler"", ""score"": 0.7979, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""agent that can infer or reason about wake-up times from minimal context"", ""agent that can ask clarifying questions when wake-up times are missing""]}, {""agent"": ""survey_builder"", ""score"": 0.7847, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""agent that can ask clarifying questions when wake-up times are missing""]}, {""agent"": ""password_manager"", ""score"": 0.777, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""agent that can infer or reason about wake-up times from minimal context"", ""agent that can ask clarifying questions when wake-up times are missing""]}]}, {""call"": 3, ""capabilities"": [""agent that can retrieve user profile or stored routine data"", ""agent that can infer wake-up times from minimal context or typical schedules"", ""agent that can compare two people’s wake-up times if data exists""], ""unmatched"": [], ""results"": [{""agent"": ""password_manager"", ""score"": 0.8331, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""agent that can retrieve user profile or stored routine data""]}, {""agent"": ""task_scheduler"", ""score"": 0.8243, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""agent that can infer wake-up times from minimal context or typical schedules""]}, {""agent"": ""travel_booker"", ""score"": 0.7879, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""agent that can compare two people’s wake-up times if data exists""]}, {""agent"": ""weather_service"", ""score"": 0.7714, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 4, ""matched_capabilities"": [""agent that can retrieve user profile or stored routine data""]}, {""agent"": ""backup_manager"", ""score"": 0.7593, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 5, ""matched_capabilities"": [""agent that can retrieve user profile or stored routine data""]}, {""agent"": ""currency_converter"", ""score"": 0.757, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 6, ""matched_capabilities"": [""agent that can compare two people’s wake-up times if data exists""]}, {""agent"": ""contact_manager"", ""score"": 0.7539, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 7, ""matched_capabilities"": [""agent that can compare two people’s wake-up times if data exists""]}]}]",32081,1855,33936,210,0.03506320901780919,2.0999999999998596e-05,0.03508420901780919,0,0,0,0,0,0,0,[],7,"[""gather_context"", ""gather_context"", ""task_complete"", ""judge_review"", ""gather_context"", ""task_complete"", ""judge_review""]"
019e28c5-e86b-7133-a560-8f4d8d0a2fd3,2026-05-14T23:15:48.031993+00:00,1-4,0,tasks/officebench/1-4,gpt-5.4-nano,nano-sparse_baseline_upper_fold1,nano/sparse_baseline_upper_fold1,1,planned,,1,0,28.95,0,2,1,0,0,,0.0,0,0,0,1,-1.0,"[""excel""]",[],0,"{""excel"": ""embedding"", ""database"": ""embedding"", ""video_editor"": ""embedding""}","[{""call"": 1, ""capabilities"": [""excel file editing"", ""spreadsheet data update"", ""file manipulation""], ""unmatched"": [], ""results"": [{""agent"": ""excel"", ""score"": 0.9073, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 1, ""matched_capabilities"": [""excel file editing"", ""spreadsheet data update""]}, {""agent"": ""database"", ""score"": 0.7816, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 2, ""matched_capabilities"": [""spreadsheet data update"", ""file manipulation""]}, {""agent"": ""video_editor"", ""score"": 0.7785, ""source"": ""embedding"", ""capability_score"": 0.0, ""rank"": 3, ""matched_capabilities"": [""excel file editing""]}]}]",22214,2297,24511,70,0.029359165513023085,6.9999999999995315e-06,0.029366165513023085,0,0,0,0,0,0,0,[],3,"[""gather_context"", ""task_complete"", ""judge_review""]"
